,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
220,6.88,688.00,0.41,6.99,699.00,0.42,413.30,462.19,9.1,8.0,10.1,10.1,16.8,45.0 ,9.1,8.0,10.0,10.0,16.5,44.5 ,39.81,8.5,7.8,10.1,10.0,16.9,32.40,8.08,40.48,32.40,7.76,40.16,16.48,8.08,24.56,32.37,8.12,40.49,32.37,8.12,40.49,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
230,6.93,693.00,0.41,6.99,699.00,0.42,413.30,466.89,9.1,8.0,10.1,10.1,16.7,44.9 ,9.1,8.0,10.0,10.0,16.5,44.5 ,39.41,8.2,7.6,10.1,10.0,16.8,32.48,8.08,40.56,32.40,7.76,40.16,16.40,8.08,24.48,32.37,8.12,40.49,32.37,8.12,40.49,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
240,6.93,693.00,0.41,6.99,699.00,0.42,413.30,460.23,9.1,8.0,10.1,10.1,16.7,44.8 ,9.1,8.0,10.0,10.0,16.5,44.5 ,39.98,8.4,7.7,10.1,10.0,16.9,32.48,8.08,40.56,32.40,7.76,40.16,16.48,8.08,24.56,32.25,8.12,40.37,32.25,8.12,40.37,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
250,6.94,694.00,0.41,6.99,699.00,0.42,413.30,457.12,9.1,8.0,10.1,10.1,16.6,44.8 ,9.1,8.0,10.0,10.0,16.5,44.5 ,40.25,8.1,7.5,10.1,10.0,16.8,32.40,8.08,40.48,32.32,7.76,40.08,16.40,8.08,24.48,32.25,8.12,40.37,32.25,8.12,40.37,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
260,6.92,692.00,0.41,6.99,699.00,0.42,413.30,453.61,9.1,8.0,10.1,10.1,16.7,44.9 ,9.1,8.0,10.0,10.0,16.5,44.5 ,40.56,8.3,7.7,10.1,10.1,16.9,32.40,8.08,40.48,32.32,7.92,40.24,16.40,8.08,24.48,32.37,8.12,40.49,32.37,8.12,40.49,16.25,8.00,24.25,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
270,6.93,693.00,0.41,6.99,699.00,0.42,413.30,461.32,9.1,8.0,10.1,10.1,16.7,44.8 ,9.1,8.0,10.0,10.0,16.5,44.5 ,39.89,8.1,7.5,10.1,10.1,16.8,32.32,8.08,40.40,32.32,7.92,40.24,16.32,8.08,24.40,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
280,6.91,691.00,0.41,6.99,699.00,0.42,413.48,453.43,9.1,8.0,10.1,10.1,16.7,44.9 ,9.1,8.0,10.0,10.0,16.5,44.5 ,40.58,8.2,7.6,10.1,10.0,16.8,32.40,8.08,40.48,32.32,7.76,40.08,16.32,8.08,24.40,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
290,6.91,691.00,0.41,6.99,699.00,0.42,413.48,463.36,9.1,8.0,10.1,10.1,16.7,44.9 ,9.1,8.0,10.0,10.0,16.5,44.5 ,39.71,8.0,7.4,10.1,10.0,16.8,32.32,8.08,40.40,32.32,7.76,40.08,16.32,8.08,24.40,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
300,6.93,693.00,0.41,6.99,699.00,0.42,413.30,459.48,9.1,8.0,10.1,10.1,16.7,44.8 ,9.1,8.0,10.0,10.0,16.5,44.5 ,40.04,8.3,7.6,10.1,10.0,16.9,32.32,8.08,40.40,32.32,7.84,40.16,16.40,8.08,24.48,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
310,6.93,693.00,0.41,6.99,699.00,0.42,413.30,458.94,9.1,8.0,10.1,10.1,16.7,44.8 ,9.1,8.0,10.0,10.0,16.5,44.5 ,40.09,7.9,7.4,10.1,10.0,16.9,32.32,8.08,40.40,32.32,7.76,40.08,16.40,8.08,24.48,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
