,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer,,,,,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,,L2-L3 (B/LUP),,,,L3-MEM (B/LUP),,,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,access,load,evict,total,access,load,evict,total,access,load,evict,total,load,evict,total,load,evict,total,load,evict,total
350,2.45,350,0.17,2.45,350,0.17,392.857142857143,413.93,12,14,10,10,15.8,49.8,12,14,10,10,10.8,44.8,42.52,116.88,8.08,32.24,40.32,32.24,7.28,30,37.28,30,8.16,16.32,24.48
360,2.45,350,0.17,2.45,350,0.17,392.857142857143,415.1,12,14,10,10,10.8,44.8,12,14,10,10,10.8,44.8,42.4,120.08,8.08,32.24,40.32,32.24,7.28,30,37.28,30,8.16,16.32,24.48
370,2.45,350,0.17,2.45,350,0.17,392.857142857143,403.63,12,14,10,10,7.5,41.5,12,14,10,10,10.8,44.8,43.6,114.88,8.08,32.24,40.32,32.24,7.44,30.16,37.6,30.16,8.16,16.32,24.48
380,2.45,350,0.17,2.45,350,0.17,392.857142857143,399.45,12,14,10,10,10.8,44.8,12,14,10,10,10.8,44.8,44.06,119.6,8.08,32.32,40.4,32.32,7.36,30.16,37.52,30.16,8.16,16.32,24.48
390,2.45,350,0.17,2.45,350,0.17,392.857142857143,404.95,12,14,10,10,10.8,44.8,12,14,10,10,10.8,44.8,43.46,116.4,8.08,32.32,40.4,32.32,7.36,30.32,37.68,30.32,8.16,16.32,24.48
400,2.45,350,,2.45,350,0.17,392.857142857143,407.74,12,14,10,10,10.8,44.8,12,14,10,10,10.8,44.8,43.16,119.28,8.08,32.32,40.4,32.32,7.44,30.08,37.52,30.08,8.16,16.32,24.48
410,,,,2.45,350,0.17,392.857142857143,415.07,,,,,,,12,14,10,10,10.8,44.8,42.4,116.16,8.08,32.24,40.32,32.24,7.36,30,37.36,30,8.16,16.32,24.48
420,,,,2.45,350,0.17,392.857142857143,413.84,,,,,,,12,14,10,10,10.8,44.8,42.53,117.52,8.08,32.24,40.32,32.24,7.36,29.84,37.2,29.84,8.16,16.24,24.4
430,,,,2.45,350,0.17,392.857142857143,403.53,,,,,,,12,14,10,10,10.8,44.8,43.61,116,8.08,32.32,40.4,32.32,7.36,30.16,37.52,30.16,8.16,16.32,24.48
440,,,,2.45,350,0.17,392.857142857143,408.46,,,,,,,12,14,10,10,10.8,44.8,43.09,118.64,8.08,32.4,40.48,32.4,7.28,30.08,37.36,30.08,8.16,16.32,24.48
450,,,,2.45,350,0.17,392.857142857143,415.26,,,,,,,12,14,10,10,10.8,44.8,42.38,114.4,8.08,32.32,40.4,32.32,7.36,29.92,37.28,29.92,8.08,16.32,24.4
460,,,,2.45,350,0.17,392.857142857143,407.95,,,,,,,12,14,10,10,10.8,44.8,43.14,118.32,8.08,32.24,40.32,32.24,7.44,30.08,37.52,30.08,8.16,16.32,24.48
