N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
L3 150 150 150 16 2162 150,33634123776,1528823808,9.79,445.15,41.76,0,0,0,0,0,0,0,0,0
160,256,2.071652,L2 160 160 160 16 19 160
L3 160 160 160 16 2027 160,20569550848,934979584,9.92,451.31,41.76,0,0,0,0,0,0,0,0,0
170,256,2.433663,L2 170 170 170 16 18 170
L3 170 170 170 16 1908 170,24842436608,1129201664,10.20,463.99,40.00,0,0,0,0,0,0,0,0,0
180,256,2.940870,L2 180 180 180 16 17 180
L3 180 180 180 16 1802 180,29669511168,1348614144,10.08,458.57,40.88,0,0,0,0,0,0,0,0,0
190,256,3.432020,L2 190 190 190 16 16 190
L3 190 190 190 16 1707 190,35084566528,1594753024,10.22,464.66,40.00,0,0,0,0,0,0,0,0,0
200,128,2.014123,L2 200 200 200 16 15 200
L3 200 200 200 16 1622 200,20560697344,934577152,10.20,464.00,40.00,0,0,0,0,0,0,0,0,0
210,128,2.379179,L2 210 210 210 16 14 210
L3 210 210 210 16 1544 210,23906893824,1086676992,10.04,456.74,40.88,0,0,0,0,0,0,0,0,0
220,128,2.681880,L2 220 220 220 16 13 220
L3 220 220 220 16 1474 220,27597768704,1254444032,10.28,467.74,40.00,0,0,0,0,0,0,0,0,0
230,128,3.054799,L2 230 230 230 16 13 230
L3 230 230 230 16 1410 230,31650217984,1438646272,10.36,470.94,40.00,0,0,0,0,0,0,0,0,0
240,128,3.481866,L2 240 240 240 16 12 240
L3 240 240 240 16 1351 240,36081137664,1640051712,10.36,471.02,39.12,0,0,0,0,0,0,0,0,0
250,128,3.980324,L2 250 250 250 16 12 250
L3 250 250 250 16 1297 250,40907423744,1859428352,10.27,467.15,40.00,0,0,0,0,0,0,0,0,0
260,64,2.388873,L2 260 260 260 16 12 250
L3 260 260 260 16 1247 260,23072986112,1048772096,9.65,439.02,42.72,0,0,0,0,0,0,0,0,0
270,64,2.693576,L2 270 270 270 16 12 250
L3 270 270 270 16 1201 270,25906839552,1177583616,9.61,437.18,42.72,0,0,0,0,0,0,0,0,0
280,64,3.160708,L2 280 280 280 16 12 250
L3 280 280 280 16 1158 280,28963720192,1316532736,9.16,416.53,44.80,0,0,0,0,0,0,0,0,0
290,64,3.467441,L2 290 290 290 16 12 250
L3 290 290 290 16 1118 290,32252076032,1466003456,9.30,422.79,43.76,0,0,0,0,0,0,0,0,0
300,64,3.918505,L2 300 300 300 16 12 250
L3 300 300 300 16 1081 300,35780355072,1626379776,9.13,415.04,44.80,0,0,0,0,0,0,0,0,0
310,32,2.161113,L2 310 310 310 16 12 250
L3 310 310 310 16 1046 310,19778502656,899022848,9.14,415.99,44.80,0,0,0,0,0,0,0,0,0
320,32,2.366933,L2 320 320 320 16 12 250
L3 320 320 320 16 1013 320,21795237376,990692608,9.20,418.55,44.80,0,0,0,0,0,0,0,0,0
330,32,2.655238,L2 330 330 330 16 12 250
L3 330 330 330 16 983 330,23944605696,1088391168,9.01,409.90,46.00,0,0,0,0,0,0,0,0,0
340,32,2.897335,L2 340 340 340 16 12 250
L3 340 340 340 16 954 340,26230831616,1192310528,9.05,411.51,44.80,0,0,0,0,0,0,0,0,0
350,32,3.157982,L2 350 350 350 16 12 250
L3 350 350 350 16 926 350,28658139136,1302642688,9.07,412.49,44.80,0,0,0,0,0,0,0,0,0
360,32,3.491365,L2 360 360 360 16 12 250
L3 360 360 360 16 901 360,31230752256,1419579648,8.94,406.59,46.00,0,0,0,0,0,0,0,0,0
370,32,3.750908,L2 370 370 370 16 12 250
L3 370 370 370 16 876 370,33952894976,1543313408,9.05,411.44,44.80,0,0,0,0,0,0,0,0,0
380,16,2.061137,L2 380 380 380 16 12 250
L3 380 380 380 16 853 380,18414395648,837017984,8.93,406.09,46.00,0,0,0,0,0,0,0,0,0
390,16,2.268106,L2 390 390 390 16 12 250
L3 390 390 390 16 831 390,19931332608,905969664,8.78,399.43,47.12,0,0,0,0,0,0,0,0,0
