,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
280,8.80,400.00,0.30,9.03,410.45,0.31,254.16,230.60,30.0,22.2,18.5,18.5,14.7,73.8 ,30.0,22.2,18.0,18.0,14.1,72.3 ,79.79,30.9,23.0,20.6,18.5,14.8,74.00,8.40,82.40,65.68,8.16,73.84,16.88,8.24,25.12,65.62,8.12,73.74,65.62,8.12,73.74,16.62,8.37,24.99,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
290,8.81,400.45,0.30,9.03,410.45,0.31,254.16,245.09,30.0,22.2,22.5,18.4,14.7,77.8 ,30.0,22.2,18.0,18.0,14.1,72.3 ,75.08,30.3,22.3,20.3,18.4,14.8,72.80,8.48,81.28,65.60,8.16,73.76,16.88,8.24,25.12,81.87,8.12,89.99,65.62,8.12,73.74,16.62,8.25,24.87,64.00,8.00,72.00,64.00,8.00,72.00,16.00,8.00,24.00
300,8.22,373.63,0.22,6.72,305.45,0.18,217.98,232.44,30.0,22.2,24.5,18.4,14.4,79.5 ,30.0,22.2,30.0,18.0,14.1,84.3 ,79.16,30.9,23.0,23.2,18.6,14.8,84.48,8.56,93.04,66.32,8.16,74.48,16.88,8.24,25.12,89.87,8.12,97.99,65.50,8.12,73.62,16.50,8.00,24.50,112.00,8.00,120.00,64.00,8.00,72.00,16.00,8.00,24.00
310,7.60,345.45,0.21,6.72,305.45,0.18,217.98,242.13,30.0,22.2,26.5,18.4,14.4,81.5 ,30.0,22.2,30.0,18.0,14.1,84.3 ,75.99,30.3,22.3,24.6,18.4,14.7,89.76,8.56,98.32,65.52,8.16,73.68,16.88,8.16,25.04,98.00,8.12,106.12,65.37,8.12,73.49,16.50,8.00,24.50,112.00,8.00,120.00,64.00,8.00,72.00,16.00,8.00,24.00
320,8.84,401.81,0.30,6.72,305.45,0.18,217.98,212.64,30.0,22.2,22.4,18.4,14.6,77.6 ,30.0,22.2,30.0,18.0,14.1,84.3 ,86.53,30.9,22.9,23.9,19.2,14.7,87.12,8.56,95.68,68.48,8.16,76.64,16.80,8.16,24.96,81.62,8.12,89.74,65.37,8.12,73.49,16.50,8.25,24.75,112.00,8.00,120.00,64.00,8.00,72.00,16.00,8.00,24.00
330,7.61,345.90,0.21,6.72,305.45,0.18,217.98,239.62,30.0,22.2,26.5,18.4,14.5,81.5 ,30.0,22.2,30.0,18.0,14.1,84.3 ,76.79,30.2,22.3,27.7,18.4,14.7,102.16,8.56,110.72,65.44,8.16,73.60,16.80,8.16,24.96,97.87,8.12,105.99,65.37,8.12,73.49,16.50,8.12,24.62,112.00,8.00,120.00,64.00,8.00,72.00,16.00,8.00,24.00
340,7.61,345.90,0.21,6.72,305.45,0.18,217.98,229.80,30.0,22.2,26.5,18.4,14.5,81.5 ,30.0,22.2,30.0,18.0,14.1,84.3 ,80.07,30.8,22.9,25.6,18.4,14.8,94.00,8.48,102.48,65.36,8.16,73.52,16.88,8.16,25.04,97.75,8.12,105.87,65.37,8.12,73.49,16.50,8.12,24.62,112.00,8.00,120.00,64.00,8.00,72.00,16.00,8.00,24.00
350,6.60,300.00,0.18,6.72,305.45,0.18,217.98,237.42,30.0,22.2,30.5,18.4,14.4,85.5 ,30.0,22.2,30.0,18.0,14.1,84.3 ,77.50,30.2,22.3,30.7,18.4,14.8,114.08,8.48,122.56,65.36,8.16,73.52,16.88,8.16,25.04,114.00,8.12,122.12,65.25,8.12,73.37,16.50,8.00,24.50,112.00,8.00,120.00,64.00,8.00,72.00,16.00,8.00,24.00
360,6.61,300.45,0.18,6.72,305.45,0.18,217.98,225.45,30.0,22.2,30.5,18.3,14.4,85.5 ,30.0,22.2,30.0,18.0,14.1,84.3 ,81.61,30.7,22.8,30.7,18.4,14.8,114.24,8.48,122.72,65.28,8.16,73.44,16.96,8.16,25.12,113.87,8.12,121.99,65.25,8.12,73.37,16.50,8.00,24.50,112.00,8.00,120.00,64.00,8.00,72.00,16.00,8.00,24.00
370,6.61,300.45,0.18,6.72,305.45,0.18,217.98,240.00,30.0,22.2,30.5,18.3,14.5,85.5 ,30.0,22.2,30.0,18.0,14.1,84.3 ,76.67,30.2,22.3,30.7,18.3,14.8,114.40,8.48,122.88,65.28,8.16,73.44,16.96,8.16,25.12,113.87,8.12,121.99,65.00,8.12,73.12,16.25,8.25,24.50,112.00,8.00,120.00,64.00,8.00,72.00,16.00,8.00,24.00
380,7.08,321.81,0.19,6.72,305.45,0.18,217.98,227.10,30.0,22.2,28.5,18.3,14.5,83.5 ,30.0,22.2,30.0,18.0,14.1,84.3 ,81.02,30.7,22.8,27.9,18.3,14.8,103.12,8.48,111.60,65.20,8.16,73.36,16.96,8.16,25.12,105.75,8.12,113.87,65.25,8.12,73.37,16.50,8.25,24.75,112.00,8.00,120.00,64.00,8.00,72.00,16.00,8.00,24.00
390,6.61,300.45,0.18,6.72,305.45,0.18,217.98,234.81,30.0,22.2,30.5,18.3,14.5,85.5 ,30.0,22.2,30.0,18.0,14.1,84.3 ,78.36,30.3,22.2,30.6,18.3,14.9,114.16,8.48,122.64,65.20,8.08,73.28,17.04,8.16,25.20,113.75,8.12,121.87,65.25,8.12,73.37,16.37,8.12,24.49,112.00,8.00,120.00,64.00,8.00,72.00,16.00,8.00,24.00
400,7.63,346.81,0.21,6.72,305.45,0.18,217.98,228.04,30.0,22.2,26.4,18.3,14.6,81.6 ,30.0,22.2,30.0,18.0,14.1,84.3 ,80.69,30.6,22.7,28.4,18.3,14.8,105.12,8.40,113.52,65.12,8.16,73.28,16.96,8.16,25.12,97.50,8.12,105.62,65.12,8.12,73.24,16.37,8.37,24.74,112.00,8.00,120.00,64.00,8.00,72.00,16.00,8.00,24.00
410,6.62,300.90,0.18,6.72,305.45,0.18,217.98,237.48,30.0,22.2,30.4,18.3,14.8,85.8 ,30.0,22.2,30.0,18.0,14.1,84.3 ,77.48,30.2,22.2,30.8,18.3,14.9,114.56,8.56,123.12,65.12,8.16,73.28,17.12,8.16,25.28,113.62,8.12,121.74,65.12,8.12,73.24,16.37,8.75,25.12,112.00,8.00,120.00,64.00,8.00,72.00,16.00,8.00,24.00
420,6.62,300.90,0.18,6.72,305.45,0.18,217.98,227.76,30.0,22.2,30.4,18.3,14.6,85.5 ,30.0,22.2,30.0,18.0,14.1,84.3 ,80.79,30.7,22.7,30.6,18.3,15.1,114.08,8.40,122.48,65.12,8.08,73.20,17.44,8.16,25.60,113.62,8.12,121.74,65.12,8.12,73.24,16.37,8.37,24.74,112.00,8.00,120.00,64.00,8.00,72.00,16.00,8.00,24.00
