,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer,,,,,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,,L2-L3 (B/LUP),,,,L3-MEM (B/LUP),,,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,access,load,evict,total,access,load,evict,total,access,load,evict,total
420,,,,2.45,350,0.17,384.279475982533,300.32,,,,,,,12,15,10,10,10.8,45.8,58.6,183.6,8.08,32.24,40.32,32.24,8,32.16,40.16,32.16,8.16,16.32,24.48
430,,,,2.45,350,0.17,384.279475982533,297.48,,,,,,,12,15,10,10,10.8,45.8,59.16,182.16,8.08,32.32,40.4,32.32,8,32.24,40.24,32.24,8.16,16.32,24.48
440,,,,2.45,350,0.17,384.279475982533,302.58,,,,,,,12,15,10,10,10.8,45.8,58.17,182.8,8.08,32.4,40.48,32.4,8,32.16,40.16,32.16,8.16,16.32,24.48
450,,,,2.45,350,0.17,384.279475982533,298.56,,,,,,,12,15,10,10,10.8,45.8,58.95,181.92,8.08,32.24,40.32,32.24,7.92,32.16,40.08,32.16,8.16,16.4,24.56
460,,,,2.45,350,0.17,384.279475982533,300.72,,,,,,,12,15,10,10,10.8,45.8,58.53,182.96,8.08,32.24,40.32,32.24,8,32.16,40.16,32.16,8.16,16.4,24.56
470,,,,2.45,350,0.17,384.279475982533,298.97,,,,,,,12,15,10,10,10.8,45.8,58.87,181.2,8.08,32.24,40.32,32.24,7.92,32.16,40.08,32.16,8.16,16.4,24.56
480,,,,2.45,350,0.17,384.279475982533,295.2,,,,,,,12,15,10,10,10.8,45.8,59.62,182.64,8.08,33.6,41.68,33.6,7.92,32.08,40,32.08,8.16,16.4,24.56
490,,,,2.45,350,0.17,384.279475982533,292.46,,,,,,,12,15,10,10,10.8,45.8,60.18,181.44,8.08,32.64,40.72,32.64,7.92,32.08,40,32.08,8.16,16.4,24.56
500,,,,2.45,350,0.17,384.279475982533,299.6,,,,,,,12,15,10,10,10.8,45.8,58.74,182.4,8.08,32.4,40.48,32.4,7.92,32.08,40,32.08,8.16,16.48,24.64
510,,,,2.45,350,0.17,384.279475982533,295.8,,,,,,,12,15,10,10,10.8,45.8,59.5,181.2,8.08,32.8,40.88,32.8,7.92,32,39.92,32,8.16,16.4,24.56
520,,,,2.45,350,0.17,384.279475982533,303.66,,,,,,,12,15,10,10,10.8,45.8,57.96,181.76,8.08,38.56,46.64,38.56,7.92,32,39.92,32,8.16,16.48,24.64
530,,,,2.45,350,0.17,384.279475982533,297.94,,,,,,,12,15,10,10,10.8,45.8,59.07,181.04,8.08,36.32,44.4,36.32,7.92,32.08,40,32.08,8.16,16.56,24.72
540,,,,2.45,350,0.17,384.279475982533,302.15,,,,,,,12,15,10,10,10.8,45.8,58.25,181.92,8.08,33.84,41.92,33.84,7.92,32.16,40.08,32.16,8.16,16.56,24.72
550,,,,2.45,350,0.17,384.279475982533,303.17,,,,,,,12,15,10,10,10.8,45.8,58.05,180.48,8.08,34.24,42.32,34.24,8,32.16,40.16,32.16,8.16,16.64,24.8
560,,,,2.45,350,0.17,384.279475982533,302.7,,,,,,,12,15,10,10,10.8,45.8,58.14,181.68,8.08,36.48,44.56,36.48,7.92,32.08,40,32.08,8.16,16.72,24.88
