,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
110,2.35,235.00,0.17,2.40,240.00,0.18,229.12,188.80,12.0,12.0,18.4,18.4,32.9,81.7 ,12.0,12.0,18.0,18.0,32.2,80.2 ,97.46,66.16,8.16,74.32,65.68,8.08,73.76,49.60,8.24,57.84,65.37,8.12,73.49,65.37,8.12,73.49,49.12,8.12,57.24,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
120,2.36,236.00,0.18,2.40,240.00,0.18,229.12,186.66,12.0,12.0,18.3,18.3,32.8,81.5 ,12.0,12.0,18.0,18.0,32.2,80.2 ,98.57,67.44,8.24,75.68,65.60,8.08,73.68,49.60,8.16,57.76,65.25,8.12,73.37,65.25,8.12,73.37,49.00,8.12,57.12,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
130,2.36,236.00,0.18,2.40,240.00,0.18,229.12,187.77,12.0,12.0,18.3,18.3,32.8,81.4 ,12.0,12.0,18.0,18.0,32.2,80.2 ,97.99,66.80,8.24,75.04,65.44,8.08,73.52,49.44,8.16,57.60,65.12,8.12,73.24,65.12,8.12,73.24,48.87,8.12,56.99,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
140,2.36,236.00,0.18,2.40,240.00,0.18,229.12,188.06,12.0,12.0,18.3,18.3,32.7,81.3 ,12.0,12.0,18.0,18.0,32.2,80.2 ,97.84,65.76,8.16,73.92,65.28,7.76,73.04,49.36,8.16,57.52,65.00,8.12,73.12,65.00,8.12,73.12,48.87,8.12,56.99,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
150,2.37,237.00,0.18,2.40,240.00,0.18,229.12,187.41,12.0,12.0,18.3,18.3,32.7,81.2 ,12.0,12.0,18.0,18.0,32.2,80.2 ,98.18,65.60,8.16,73.76,65.28,7.84,73.12,49.28,8.16,57.44,65.00,8.12,73.12,65.00,8.12,73.12,48.75,8.12,56.87,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
160,2.37,237.00,0.18,2.40,240.00,0.18,229.12,183.10,12.0,12.0,18.3,18.3,32.7,81.2 ,12.0,12.0,18.0,18.0,32.2,80.2 ,100.49,66.56,8.32,74.88,65.28,7.84,73.12,49.20,8.16,57.36,64.87,8.12,72.99,64.87,8.12,72.99,48.75,8.12,56.87,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
170,2.37,237.00,0.18,2.40,240.00,0.18,229.12,190.91,12.0,12.0,18.2,18.2,32.6,81.1 ,12.0,12.0,18.0,18.0,32.2,80.2 ,96.38,65.52,8.08,73.60,65.12,7.84,72.96,49.12,8.16,57.28,64.87,8.12,72.99,64.87,8.12,72.99,48.75,8.12,56.87,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
180,2.37,237.00,0.18,2.40,240.00,0.18,229.12,190.75,12.0,12.0,18.2,18.2,32.6,81.1 ,12.0,12.0,18.0,18.0,32.2,80.2 ,96.46,65.60,8.08,73.68,65.04,7.76,72.80,49.12,8.16,57.28,64.87,8.12,72.99,64.87,8.12,72.99,48.62,8.12,56.74,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
190,2.37,237.00,0.18,2.40,240.00,0.18,229.12,191.29,12.0,12.0,18.2,18.2,32.6,81.0 ,12.0,12.0,18.0,18.0,32.2,80.2 ,96.19,65.60,8.08,73.68,64.96,7.84,72.80,49.04,8.16,57.20,64.75,8.12,72.87,64.75,8.12,72.87,48.62,8.00,56.62,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
200,2.37,237.00,0.18,2.40,240.00,0.18,229.12,189.53,12.0,12.0,18.2,18.2,32.6,81.0 ,12.0,12.0,18.0,18.0,32.2,80.2 ,97.08,65.76,8.16,73.92,64.96,7.76,72.72,49.04,8.16,57.20,64.75,8.12,72.87,64.75,8.12,72.87,48.50,8.12,56.62,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
210,2.37,237.00,0.18,2.40,240.00,0.18,229.12,187.73,12.0,12.0,18.2,18.2,32.6,81.0 ,12.0,12.0,18.0,18.0,32.2,80.2 ,98.02,65.60,8.08,73.68,64.96,7.76,72.72,49.04,8.16,57.20,64.75,8.12,72.87,64.75,8.12,72.87,48.50,8.25,56.75,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
220,2.37,237.00,0.18,2.40,240.00,0.18,229.12,191.01,12.0,12.0,18.2,18.2,32.6,80.9 ,12.0,12.0,18.0,18.0,32.2,80.2 ,96.33,65.36,8.08,73.44,64.88,7.76,72.64,48.96,8.16,57.12,64.62,8.12,72.74,64.62,8.12,72.74,48.50,8.12,56.62,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
230,2.38,238.00,0.18,2.40,240.00,0.18,229.12,191.47,12.0,12.0,18.2,18.2,32.5,80.9 ,12.0,12.0,18.0,18.0,32.2,80.2 ,96.10,65.36,8.08,73.44,64.80,7.84,72.64,49.04,8.16,57.20,64.62,8.12,72.74,64.62,8.12,72.74,48.50,8.00,56.50,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
240,2.38,238.00,0.18,2.40,240.00,0.18,229.12,186.73,12.0,12.0,18.2,18.2,32.5,80.8 ,12.0,12.0,18.0,18.0,32.2,80.2 ,98.54,65.60,8.16,73.76,64.88,7.76,72.64,49.04,8.16,57.20,64.62,8.12,72.74,64.62,8.12,72.74,48.50,8.00,56.50,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
250,2.39,239.00,0.18,2.40,240.00,0.18,229.12,191.01,12.0,12.0,18.2,18.2,32.4,80.7 ,12.0,12.0,18.0,18.0,32.2,80.2 ,96.33,65.36,8.08,73.44,64.80,7.84,72.64,49.04,8.16,57.20,64.50,8.12,72.62,64.50,8.12,72.62,48.37,8.00,56.37,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
260,2.38,238.00,0.18,2.40,240.00,0.18,229.12,186.36,12.0,12.0,18.2,18.2,32.4,80.7 ,12.0,12.0,18.0,18.0,32.2,80.2 ,98.73,66.80,8.08,74.88,64.80,7.76,72.56,49.12,8.16,57.28,64.50,8.12,72.62,64.50,8.12,72.62,48.37,8.00,56.37,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
270,2.38,238.00,0.18,2.40,240.00,0.18,229.12,190.86,12.0,12.0,18.2,18.2,32.5,80.8 ,12.0,12.0,18.0,18.0,32.2,80.2 ,96.41,65.68,8.08,73.76,64.72,7.76,72.48,49.12,8.08,57.20,64.62,8.00,72.62,64.62,8.00,72.62,48.50,8.12,56.62,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
280,2.38,238.00,0.18,2.40,240.00,0.18,229.12,188.28,12.0,12.0,18.1,18.1,32.4,80.7 ,12.0,12.0,18.0,18.0,32.2,80.2 ,97.73,66.08,8.16,74.24,64.72,7.76,72.48,49.20,8.08,57.28,64.50,8.00,72.50,64.50,8.00,72.50,48.37,8.12,56.49,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
290,2.39,239.00,0.18,2.40,240.00,0.18,229.12,188.82,12.0,12.0,18.1,18.1,32.4,80.7 ,12.0,12.0,18.0,18.0,32.2,80.2 ,97.45,65.52,8.08,73.60,64.72,7.76,72.48,49.36,8.08,57.44,64.50,8.00,72.50,64.50,8.00,72.50,48.37,8.00,56.37,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
300,2.38,238.00,0.18,2.40,240.00,0.18,229.12,188.44,12.0,12.0,18.1,18.1,32.4,80.7 ,12.0,12.0,18.0,18.0,32.2,80.2 ,97.64,65.68,8.08,73.76,64.72,7.76,72.48,49.36,8.08,57.44,64.50,8.00,72.50,64.50,8.00,72.50,48.37,8.12,56.49,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
310,2.38,238.00,0.18,2.40,240.00,0.18,229.12,189.81,12.0,12.0,18.1,18.1,32.5,80.7 ,12.0,12.0,18.0,18.0,32.2,80.2 ,96.94,65.44,8.08,73.52,64.72,7.76,72.48,49.28,8.08,57.36,64.50,8.00,72.50,64.50,8.00,72.50,48.37,8.12,56.49,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
320,2.38,238.00,0.18,2.40,240.00,0.18,229.12,179.65,12.0,12.0,18.1,18.1,32.4,80.7 ,12.0,12.0,18.0,18.0,32.2,80.2 ,102.42,67.44,8.24,75.68,64.72,7.76,72.48,49.52,8.08,57.60,64.50,8.00,72.50,64.50,8.00,72.50,48.37,8.00,56.37,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
330,2.39,239.00,0.18,2.40,240.00,0.18,229.12,188.21,12.0,12.0,18.1,18.1,32.3,80.6 ,12.0,12.0,18.0,18.0,32.2,80.2 ,97.76,65.52,8.08,73.60,64.64,7.76,72.40,49.44,8.08,57.52,64.50,8.00,72.50,64.50,8.00,72.50,48.37,7.87,56.24,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
340,2.38,238.00,0.18,2.40,240.00,0.18,229.12,187.82,12.0,12.0,18.1,18.1,32.5,80.7 ,12.0,12.0,18.0,18.0,32.2,80.2 ,97.96,65.60,8.16,73.76,64.64,7.76,72.40,49.60,8.08,57.68,64.37,8.00,72.37,64.37,8.00,72.37,48.25,8.25,56.50,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
350,2.39,239.00,0.18,2.40,240.00,0.18,229.12,188.73,12.0,12.0,18.1,18.1,32.4,80.6 ,12.0,12.0,18.0,18.0,32.2,80.2 ,97.49,65.60,8.16,73.76,64.64,7.76,72.40,49.60,8.08,57.68,64.37,8.00,72.37,64.37,8.00,72.37,48.37,8.00,56.37,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
360,2.38,238.00,0.18,2.40,240.00,0.18,229.12,187.13,12.0,12.0,18.1,18.1,32.4,80.7 ,12.0,12.0,18.0,18.0,32.2,80.2 ,98.33,66.32,8.24,74.56,64.56,7.76,72.32,49.52,8.08,57.60,64.37,8.00,72.37,64.37,8.00,72.37,48.37,8.12,56.49,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
370,2.39,239.00,0.18,2.40,240.00,0.18,229.12,188.47,12.0,12.0,20.1,18.1,32.4,82.6 ,12.0,12.0,18.0,18.0,32.2,80.2 ,97.63,66.96,8.16,75.12,64.64,7.76,72.40,49.68,8.08,57.76,72.37,8.00,80.37,64.37,8.00,72.37,48.37,8.00,56.37,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
380,2.39,239.00,0.18,2.40,240.00,0.18,229.12,187.22,12.0,12.0,18.1,18.1,32.4,80.6 ,12.0,12.0,18.0,18.0,32.2,80.2 ,98.28,67.60,8.24,75.84,64.56,7.76,72.32,49.76,8.08,57.84,64.37,8.00,72.37,64.37,8.00,72.37,48.25,8.00,56.25,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
390,2.39,239.00,0.18,2.40,240.00,0.18,229.12,188.61,12.0,12.0,18.1,18.1,32.3,80.5 ,12.0,12.0,18.0,18.0,32.2,80.2 ,97.55,66.00,8.16,74.16,64.56,7.76,72.32,50.00,8.08,58.08,64.37,8.00,72.37,64.37,8.00,72.37,48.25,8.00,56.25,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
400,2.39,239.00,0.18,2.40,240.00,0.18,229.12,181.01,12.0,12.0,18.1,18.1,32.4,80.6 ,12.0,12.0,18.0,18.0,32.2,80.2 ,101.65,69.84,8.24,78.08,64.56,7.76,72.32,50.24,8.08,58.32,64.37,8.00,72.37,64.37,8.00,72.37,48.25,8.00,56.25,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
410,2.38,238.00,0.18,2.40,240.00,0.18,229.12,184.64,12.0,12.0,20.1,18.1,32.4,82.6 ,12.0,12.0,18.0,18.0,32.2,80.2 ,99.66,71.52,8.16,79.68,64.56,7.76,72.32,50.32,8.08,58.40,72.37,8.00,80.37,64.37,8.00,72.37,48.25,8.12,56.37,64.00,8.00,72.00,64.00,8.00,72.00,48.00,8.00,56.00
420,2.38,238.00,0.18,2.40,240.00,0.18,218.24,183.43,12.0,12.0,18.1,18.1,32.4,80.6 ,12.0,12.0,22.0,18.0,32.2,84.2 ,100.31,66.72,8.24,74.96,64.56,7.76,72.32,50.24,8.08,58.32,64.37,8.00,72.37,64.37,8.00,72.37,48.25,8.12,56.37,80.00,8.00,88.00,64.00,8.00,72.00,48.00,8.00,56.00
430,2.39,239.00,0.18,2.40,240.00,0.18,218.24,184.60,12.0,12.0,18.1,18.1,32.3,80.5 ,12.0,12.0,22.0,18.0,32.2,84.2 ,99.68,65.76,8.24,74.00,64.56,7.76,72.32,50.56,8.08,58.64,64.25,8.00,72.25,64.25,8.00,72.25,48.25,8.00,56.25,80.00,8.00,88.00,64.00,8.00,72.00,48.00,8.00,56.00
440,2.39,239.00,0.18,2.40,240.00,0.18,218.24,183.21,12.0,12.0,18.1,18.1,32.3,80.5 ,12.0,12.0,22.0,18.0,32.2,84.2 ,100.43,66.64,8.24,74.88,64.48,7.76,72.24,50.96,8.08,59.04,64.25,8.00,72.25,64.25,8.00,72.25,48.25,8.00,56.25,80.00,8.00,88.00,64.00,8.00,72.00,48.00,8.00,56.00
450,2.39,239.00,0.18,2.40,240.00,0.18,218.24,184.53,12.0,12.0,20.1,18.1,32.4,82.6 ,12.0,12.0,22.0,18.0,32.2,84.2 ,99.71,67.84,8.24,76.08,64.48,7.76,72.24,50.96,8.08,59.04,72.37,8.00,80.37,64.25,8.00,72.25,48.25,8.12,56.37,80.00,8.00,88.00,64.00,8.00,72.00,48.00,8.00,56.00
460,2.39,239.00,0.18,2.40,240.00,0.18,218.24,182.97,12.0,12.0,22.1,18.1,32.3,84.5 ,12.0,12.0,22.0,18.0,32.2,84.2 ,100.56,68.64,8.24,76.88,64.48,7.76,72.24,51.20,8.08,59.28,80.37,8.00,88.37,64.25,8.00,72.25,48.25,8.00,56.25,80.00,8.00,88.00,64.00,8.00,72.00,48.00,8.00,56.00
470,2.39,239.00,0.18,2.40,240.00,0.18,218.24,182.17,12.0,12.0,22.1,18.1,32.3,84.5 ,12.0,12.0,22.0,18.0,32.2,84.2 ,101.00,71.76,8.24,80.00,64.48,7.76,72.24,51.68,8.08,59.76,80.37,8.00,88.37,64.37,8.00,72.37,48.25,8.00,56.25,80.00,8.00,88.00,64.00,8.00,72.00,48.00,8.00,56.00
480,2.38,238.00,0.18,2.40,240.00,0.18,218.24,174.13,12.0,12.0,18.1,18.1,32.5,80.6 ,12.0,12.0,22.0,18.0,32.2,84.2 ,105.67,67.92,8.24,76.16,64.56,7.76,72.32,52.40,8.08,60.48,64.37,8.00,72.37,64.37,8.00,72.37,48.25,8.12,56.37,80.00,8.00,88.00,64.00,8.00,72.00,48.00,8.00,56.00
490,2.39,239.00,0.18,2.40,240.00,0.18,218.24,179.02,12.0,12.0,22.1,18.1,32.4,84.6 ,12.0,12.0,22.0,18.0,32.2,84.2 ,102.78,69.52,8.24,77.76,64.48,7.76,72.24,52.16,8.08,60.24,80.37,8.00,88.37,64.37,8.00,72.37,48.25,8.12,56.37,80.00,8.00,88.00,64.00,8.00,72.00,48.00,8.00,56.00
500,2.39,239.00,0.18,2.40,240.00,0.18,218.24,179.70,12.0,12.0,22.1,18.1,32.4,84.6 ,12.0,12.0,22.0,18.0,32.2,84.2 ,102.39,73.60,8.24,81.84,64.48,7.76,72.24,52.80,8.08,60.88,80.37,8.00,88.37,64.37,8.00,72.37,48.25,8.12,56.37,80.00,8.00,88.00,64.00,8.00,72.00,48.00,8.00,56.00
510,2.40,240.00,0.18,2.40,240.00,0.18,218.24,176.79,12.0,12.0,20.1,18.1,32.3,82.4 ,12.0,12.0,22.0,18.0,32.2,84.2 ,104.08,70.96,8.24,79.20,64.48,7.76,72.24,53.36,8.08,61.44,72.37,8.00,80.37,64.25,8.00,72.25,48.25,8.00,56.25,80.00,8.00,88.00,64.00,8.00,72.00,48.00,8.00,56.00
520,2.39,239.00,0.18,2.40,240.00,0.18,218.24,173.79,12.0,12.0,22.1,18.1,32.4,84.5 ,12.0,12.0,22.0,18.0,32.2,84.2 ,105.87,79.84,8.24,88.08,64.48,7.76,72.24,54.00,8.08,62.08,80.25,8.00,88.25,64.25,8.00,72.25,48.12,8.12,56.24,80.00,8.00,88.00,64.00,8.00,72.00,48.00,8.00,56.00
530,2.39,239.00,0.18,2.40,240.00,0.18,218.24,172.15,12.0,12.0,22.1,18.1,32.3,84.5 ,12.0,12.0,22.0,18.0,32.2,84.2 ,106.88,81.68,8.32,90.00,64.48,7.76,72.24,54.08,8.08,62.16,80.25,8.00,88.25,64.25,8.00,72.25,48.12,8.00,56.12,80.00,8.00,88.00,64.00,8.00,72.00,48.00,8.00,56.00
540,2.39,239.00,0.18,2.40,240.00,0.18,218.24,173.17,12.0,12.0,22.1,18.1,32.4,84.5 ,12.0,12.0,22.0,18.0,32.2,84.2 ,106.25,81.68,8.24,89.92,64.48,7.68,72.16,54.48,8.08,62.56,80.25,8.00,88.25,64.25,8.00,72.25,48.12,8.12,56.24,80.00,8.00,88.00,64.00,8.00,72.00,48.00,8.00,56.00
550,2.40,240.00,0.18,2.40,240.00,0.18,218.24,170.16,12.0,12.0,22.1,18.1,32.2,84.3 ,12.0,12.0,22.0,18.0,32.2,84.2 ,108.14,81.68,8.24,89.92,64.48,7.76,72.24,54.80,8.08,62.88,80.25,8.00,88.25,64.25,8.00,72.25,48.12,7.87,55.99,80.00,8.00,88.00,64.00,8.00,72.00,48.00,8.00,56.00
560,2.39,239.00,0.18,2.40,240.00,0.18,218.24,167.80,12.0,12.0,22.1,18.1,32.3,84.4 ,12.0,12.0,22.0,18.0,32.2,84.2 ,109.65,81.60,8.24,89.84,64.48,7.76,72.24,55.76,8.08,63.84,80.25,8.00,88.25,64.25,8.00,72.25,48.12,8.00,56.12,80.00,8.00,88.00,64.00,8.00,72.00,48.00,8.00,56.00
570,2.39,239.00,0.18,2.40,240.00,0.18,218.24,171.64,12.0,12.0,22.1,18.1,32.3,84.4 ,12.0,12.0,22.0,18.0,32.2,84.2 ,107.20,81.60,8.24,89.84,64.40,7.76,72.16,55.76,8.08,63.84,80.25,8.00,88.25,64.25,8.00,72.25,48.12,8.00,56.12,80.00,8.00,88.00,64.00,8.00,72.00,48.00,8.00,56.00
580,2.41,241.00,0.18,2.40,240.00,0.18,218.24,169.91,12.0,12.0,22.1,18.1,32.1,84.2 ,12.0,12.0,22.0,18.0,32.2,84.2 ,108.29,81.60,8.24,89.84,64.48,7.76,72.24,56.32,8.08,64.40,80.25,8.00,88.25,64.25,8.00,72.25,48.12,7.62,55.74,80.00,8.00,88.00,64.00,8.00,72.00,48.00,8.00,56.00
590,2.40,240.00,0.18,2.40,240.00,0.18,218.24,169.06,12.0,12.0,22.1,18.1,32.3,84.4 ,12.0,12.0,22.0,18.0,32.2,84.2 ,108.83,81.84,8.24,90.08,64.40,7.76,72.16,56.64,8.08,64.72,80.25,8.00,88.25,64.25,8.00,72.25,48.12,8.00,56.12,80.00,8.00,88.00,64.00,8.00,72.00,48.00,8.00,56.00
600,2.39,239.00,0.18,2.40,240.00,0.18,218.24,167.82,12.0,12.0,22.1,18.1,32.3,84.4 ,12.0,12.0,22.0,18.0,32.2,84.2 ,109.64,81.68,8.24,89.92,64.40,7.68,72.08,57.52,8.08,65.60,80.25,8.00,88.25,64.25,8.00,72.25,48.12,8.00,56.12,80.00,8.00,88.00,64.00,8.00,72.00,48.00,8.00,56.00
610,1.89,189.00,0.14,1.87,187.00,0.14,196.74,169.05,12.0,12.0,22.1,18.1,40.8,92.9 ,12.0,12.0,22.0,18.0,41.4,93.4 ,108.85,81.68,8.24,89.92,64.40,7.76,72.16,57.52,8.08,65.60,80.25,8.00,88.25,64.25,8.00,72.25,62.87,8.12,70.99,80.00,8.00,88.00,64.00,8.00,72.00,64.00,8.00,72.00
620,1.86,186.00,0.14,1.87,187.00,0.14,196.74,167.84,12.0,12.0,22.1,18.1,41.6,93.8 ,12.0,12.0,22.0,18.0,41.4,93.4 ,109.63,81.60,8.24,89.84,64.40,7.68,72.08,57.92,8.08,66.00,80.25,8.00,88.25,64.25,8.00,72.25,64.25,8.12,72.37,80.00,8.00,88.00,64.00,8.00,72.00,64.00,8.00,72.00
630,1.86,186.00,0.14,1.87,187.00,0.14,196.74,166.98,12.0,12.0,22.1,18.1,41.6,93.8 ,12.0,12.0,22.0,18.0,41.4,93.4 ,110.19,81.60,8.24,89.84,64.40,7.76,72.16,58.72,8.08,66.80,80.25,8.00,88.25,64.25,8.00,72.25,64.25,8.12,72.37,80.00,8.00,88.00,64.00,8.00,72.00,64.00,8.00,72.00
640,1.86,186.00,0.14,1.87,187.00,0.14,196.74,160.36,12.0,12.0,22.1,18.1,41.5,93.7 ,12.0,12.0,22.0,18.0,41.4,93.4 ,114.74,81.76,8.24,90.00,64.48,7.76,72.24,59.44,8.08,67.52,80.25,8.00,88.25,64.25,8.00,72.25,64.25,7.87,72.12,80.00,8.00,88.00,64.00,8.00,72.00,64.00,8.00,72.00
650,1.86,186.00,0.14,1.87,187.00,0.14,196.74,163.15,12.0,12.0,22.1,18.1,41.5,93.6 ,12.0,12.0,22.0,18.0,41.4,93.4 ,112.78,81.68,8.24,89.92,64.40,7.76,72.16,59.84,8.08,67.92,80.25,8.00,88.25,64.25,8.00,72.25,64.25,7.87,72.12,80.00,8.00,88.00,64.00,8.00,72.00,64.00,8.00,72.00
660,1.86,186.00,0.14,1.87,187.00,0.14,196.74,163.98,12.0,12.0,22.1,18.1,41.6,93.7 ,12.0,12.0,22.0,18.0,41.4,93.4 ,112.21,81.60,8.24,89.84,64.40,7.68,72.08,60.32,8.08,68.40,80.25,8.00,88.25,64.25,8.00,72.25,64.25,8.12,72.37,80.00,8.00,88.00,64.00,8.00,72.00,64.00,8.00,72.00
