,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
340,9.55,353.70,CPU bound,9.55,353.70,,284.70,295.25,52.0,28.0,10.1,10.0,16.7,64.8 ,52.0,28.0,10.0,10.0,16.6,64.6 ,62.32,53.1,27.8,10.7,10.1,16.9,34.64,8.08,42.72,32.40,8.08,40.48,16.24,8.08,24.32,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
350,9.55,353.70,CPU bound,9.55,353.70,,284.70,288.91,52.0,28.0,10.1,10.1,16.8,65.0 ,52.0,28.0,10.0,10.0,16.6,64.6 ,63.69,52.2,27.2,10.7,10.1,16.9,34.64,8.08,42.72,32.32,8.00,40.32,16.24,8.08,24.32,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
360,9.55,353.70,CPU bound,9.55,353.70,,284.82,278.43,52.0,28.0,10.1,10.1,16.8,65.0 ,52.0,28.0,10.0,10.0,16.6,64.6 ,66.09,53.1,27.7,11.2,10.1,16.9,36.80,8.16,44.96,32.32,8.00,40.32,16.24,8.08,24.32,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
370,9.55,353.70,CPU bound,9.55,353.70,,284.70,286.07,52.0,28.0,10.1,10.1,16.7,64.8 ,52.0,28.0,10.0,10.0,16.6,64.6 ,64.32,52.2,27.2,10.6,10.1,16.9,34.40,8.08,42.48,32.32,8.08,40.40,16.24,8.08,24.32,32.12,8.00,40.12,32.12,8.00,40.12,16.12,7.87,23.99,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
380,9.55,353.70,CPU bound,9.55,353.70,,284.82,285.45,52.0,28.0,10.1,10.1,16.6,64.8 ,52.0,28.0,10.0,10.0,16.6,64.6 ,64.46,53.0,27.7,11.9,10.1,16.9,39.44,8.08,47.52,32.32,8.00,40.32,16.24,8.08,24.32,32.37,8.00,40.37,32.37,8.00,40.37,16.12,7.75,23.87,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
390,9.55,353.70,CPU bound,9.55,353.70,,284.82,288.04,52.0,28.0,10.1,10.0,17.0,65.1 ,52.0,28.0,10.0,10.0,16.6,64.6 ,63.88,52.2,27.2,11.2,10.1,16.9,36.64,8.16,44.80,32.32,8.00,40.32,16.24,8.08,24.32,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.50,24.62,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
400,9.55,353.70,CPU bound,9.55,353.70,,284.70,286.32,52.0,28.0,10.1,10.1,16.7,64.9 ,52.0,28.0,10.0,10.0,16.6,64.6 ,64.26,53.0,27.7,13.4,10.1,16.9,45.60,8.16,53.76,32.32,8.00,40.32,16.32,8.08,24.40,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
410,9.55,353.70,CPU bound,9.55,353.70,,240.20,298.42,52.0,28.0,10.1,10.1,16.8,65.0 ,52.0,28.0,22.0,10.0,16.6,76.6 ,61.66,52.2,27.2,12.8,10.1,16.9,43.04,8.16,51.20,32.32,8.00,40.32,16.24,8.08,24.32,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.00,24.12,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
420,9.55,353.70,CPU bound,9.55,353.70,,240.20,292.29,52.0,28.0,12.1,10.0,16.7,66.8 ,52.0,28.0,22.0,10.0,16.6,76.6 ,62.95,52.9,27.6,13.1,10.1,16.9,44.08,8.16,52.24,32.32,8.00,40.32,16.24,8.08,24.32,40.25,8.00,48.25,32.12,8.00,40.12,16.12,8.00,24.12,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
430,9.55,353.70,CPU bound,9.55,353.70,,240.10,282.42,52.0,28.0,10.0,10.0,16.6,64.7 ,52.0,28.0,22.0,10.0,16.6,76.6 ,65.15,52.2,27.1,12.1,10.1,16.9,40.40,8.16,48.56,32.24,8.00,40.24,16.32,8.08,24.40,32.12,8.00,40.12,32.12,8.00,40.12,16.12,7.87,23.99,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
