N^3,Roofline CS GFLOPs,Roofline CS MLUPs,Roofline CS Arithmetic Intensity,Roofline LC GFLOPs,Roofline LC MLUPs,Roofline LC Arithmetic Intensity,Roofline ECM MLUPs,Benchmark MLUPs,ECM CS Tol,ECM CS Tnol,ECM CS Tl1l2,ECM CS Tl2l3,ECM CS Tl3mem,ECM CS cycl,ECM LC Tol,ECM LC Tnol,ECM LC Tl1l2,ECM LC Tl2l3,ECM LC Tl3mem,ECM LC cycl,Benchmark cycl,Benchmark Pheno Tol,Benchmark Pheno Tnol,Benchmark Pheno Tl1l2,Benchmark Pheno Tl2l3,Benchmark Pheno Tl3mem,Benchmark Transfer L1L2 load,Benchmark Transfer L1L2 evict,Benchmark Transfer L1L2 total,Benchmark Transfer L2L3 load,Benchmark Transfer L2L3 evict,Benchmark Transfer L2L3 total,Benchmark Transfer L3MEM load,Benchmark Transfer L3MEM evict,Benchmark Transfer L3MEM total,CS Transfer L1L2 load,CS Transfer L1L2 evict,CS Transfer L1L2 total,CS Transfer L2L3 load,CS Transfer L2L3 evict,CS Transfer L2L3 total,CS Transfer L3MEM load,CS Transfer L3MEM evict,CS Transfer L3MEM total,LC Transfer L1L2 load,LC Transfer L1L2 evict,LC Transfer L1L2 total,LC Transfer L2L3 load,LC Transfer L2L3 evict,LC Transfer L2L3 total,LC Transfer L3MEM load,LC Transfer L3MEM evict,LC Transfer L3MEM total
290,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.65,104.0,112.0,8.09,12.14,14.33,112.00,104.0,112.0,8.00,10.00,13.87,112.00,205.23,,,,,,,,,,,,,,,32.37,8.00,40.37,16.25,32.37,48.62,16.12,8.62,24.74,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
300,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.16,104.0,112.0,8.09,12.14,14.07,112.00,104.0,112.0,8.00,10.00,13.87,112.00,206.37,,,,,,,,,,,,,,,32.37,8.00,40.37,16.25,32.37,48.62,16.12,8.25,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
310,4.44,164.44,CPU bound,4.44,164.44,,164.21,90.23,104.0,112.0,8.09,12.14,15.23,112.00,104.0,112.0,8.00,10.00,13.87,112.00,203.92,,,,,,,,,,,,,,,32.37,8.00,40.37,16.25,32.37,48.62,16.12,10.25,26.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
320,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.02,104.0,112.0,8.09,12.14,15.34,112.00,104.0,112.0,8.00,10.00,13.87,112.00,206.71,,,,,,,,,,,,,,,32.37,8.00,40.37,16.25,32.37,48.62,16.12,10.37,26.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
330,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.96,104.0,112.0,8.09,12.14,16.42,112.00,104.0,112.0,8.00,10.00,13.87,112.00,204.55,,,,,,,,,,,,,,,32.37,8.00,40.37,16.25,32.37,48.62,16.12,10.75,26.87,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
340,4.44,164.44,CPU bound,4.44,164.44,,164.21,88.97,104.0,112.0,8.09,12.14,15.11,112.00,104.0,112.0,8.00,10.00,13.87,112.00,206.80,,,,,,,,,,,,,,,32.37,8.00,40.37,16.25,32.37,48.62,16.12,10.00,26.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
350,4.44,164.44,CPU bound,4.44,164.44,,164.21,90.15,104.0,112.0,8.09,12.14,15.25,112.00,104.0,112.0,8.00,10.00,13.87,112.00,204.10,,,,,,,,,,,,,,,32.37,8.00,40.37,16.25,32.37,48.62,16.12,10.25,26.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
360,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.12,104.0,112.0,8.09,12.14,14.12,112.00,104.0,112.0,8.00,10.00,13.87,112.00,206.47,,,,,,,,,,,,,,,32.37,8.00,40.37,16.25,32.37,48.62,16.12,8.25,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
370,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.94,104.0,112.0,10.05,12.07,17.38,112.00,104.0,112.0,8.00,10.00,13.87,112.00,204.59,,,,,,,,,,,,,,,40.25,8.00,48.25,16.12,32.12,48.24,16.12,12.37,28.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
380,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.80,104.0,112.0,8.04,12.06,17.65,112.00,104.0,112.0,8.00,10.00,13.87,112.00,204.90,,,,,,,,,,,,,,,32.12,8.00,40.12,16.12,32.12,48.24,16.12,12.87,28.99,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
390,4.44,164.44,CPU bound,4.44,164.44,,164.21,90.24,104.0,112.0,8.09,12.14,17.36,112.00,104.0,112.0,8.00,10.00,13.87,112.00,203.90,,,,,,,,,,,,,,,32.37,8.00,40.37,16.25,32.37,48.62,16.12,12.37,28.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
400,4.44,164.44,CPU bound,4.44,164.44,,164.21,88.89,104.0,112.0,8.09,12.14,17.48,112.00,104.0,112.0,8.00,10.00,13.87,112.00,207.00,,,,,,,,,,,,,,,32.37,8.00,40.37,16.25,32.37,48.62,16.12,12.50,28.62,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
410,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.83,104.0,112.0,10.09,12.14,16.91,112.00,104.0,112.0,20.00,10.00,13.87,112.00,204.84,,,,,,,,,,,,,,,40.37,8.00,48.37,16.25,32.37,48.62,16.12,11.62,27.74,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
420,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.56,104.0,112.0,12.09,12.14,17.24,112.00,104.0,112.0,20.00,10.00,13.87,112.00,205.44,,,,,,,,,,,,,,,48.37,8.00,56.37,16.25,32.37,48.62,16.12,12.12,28.24,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
430,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.94,104.0,112.0,8.09,12.14,17.80,112.00,104.0,112.0,20.00,10.00,13.87,112.00,204.59,,,,,,,,,,,,,,,32.37,8.00,40.37,16.25,32.37,48.62,16.12,13.00,29.12,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
440,4.44,164.44,CPU bound,4.44,164.44,,164.21,88.91,104.0,112.0,8.09,12.14,14.79,112.00,104.0,112.0,20.00,10.00,13.87,112.00,206.94,,,,,,,,,,,,,,,32.37,8.00,40.37,16.25,32.37,48.62,16.12,9.50,25.62,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
450,4.44,164.44,CPU bound,4.44,164.44,,164.21,88.43,104.0,112.0,12.05,12.05,18.91,112.00,104.0,112.0,20.00,10.00,13.87,112.00,208.07,,,,,,,,,,,,,,,48.25,8.00,56.25,16.12,32.12,48.24,16.12,14.87,30.99,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
460,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.64,104.0,112.0,14.06,10.89,17.94,112.00,104.0,112.0,20.00,10.00,13.87,112.00,205.26,,,,,,,,,,,,,,,56.25,8.00,64.25,11.37,32.12,43.49,20.75,10.37,31.12,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
470,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.96,104.0,112.0,14.06,10.38,20.37,112.00,104.0,112.0,20.00,10.00,13.87,112.00,204.54,,,,,,,,,,,,,,,56.25,8.00,64.25,9.37,32.12,41.49,22.75,12.50,35.25,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
480,4.44,164.44,CPU bound,4.44,164.44,,164.21,88.50,104.0,112.0,8.03,10.08,20.77,112.00,104.0,112.0,20.00,10.00,13.87,112.00,207.91,,,,,,,,,,,,,,,32.12,8.00,40.12,8.25,32.12,40.37,23.87,12.00,35.87,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
490,4.44,164.44,CPU bound,4.44,164.44,,164.21,90.08,104.0,112.0,14.06,9.83,21.55,112.00,104.0,112.0,20.00,10.00,13.87,112.00,204.27,,,,,,,,,,,,,,,56.25,8.00,64.25,7.25,32.12,39.37,24.87,12.37,37.24,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
500,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.25,104.0,112.0,14.06,10.23,19.46,112.00,104.0,112.0,20.00,10.00,13.87,112.00,206.15,,,,,,,,,,,,,,,56.25,8.00,64.25,8.75,32.12,40.87,23.37,10.37,33.74,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
510,4.44,164.44,CPU bound,4.44,164.44,,164.21,75.84,104.0,112.0,40.05,11.92,17.35,112.00,104.0,112.0,20.00,10.00,13.87,112.00,242.60,,,,,,,,,,,,,,,160.25,8.00,168.25,15.50,32.12,47.62,16.62,11.87,28.49,80.00,8.00,88.00,32.00,8.00,40.00,16.00,8.00,24.00
520,4.44,164.44,CPU bound,4.44,164.44,,164.21,88.62,104.0,112.0,16.06,8.73,23.37,112.00,104.0,112.0,20.00,10.00,24.07,112.00,207.62,,,,,,,,,,,,,,,64.25,8.00,72.25,2.75,32.12,34.87,29.37,9.50,38.87,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
530,4.44,164.44,CPU bound,4.44,164.44,,164.21,90.11,104.0,112.0,20.08,8.07,24.11,112.00,104.0,112.0,20.00,10.00,24.07,112.00,204.18,,,,,,,,,,,,,,,80.25,8.00,88.25,.12,32.12,32.24,32.00,8.12,40.12,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
540,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.47,104.0,112.0,16.06,8.05,24.11,112.00,104.0,112.0,20.00,10.00,24.07,112.00,205.64,,,,,,,,,,,,,,,64.25,8.00,72.25,.12,32.12,32.24,32.00,8.00,40.00,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
550,4.44,164.44,CPU bound,4.44,164.44,,164.21,88.97,104.0,112.0,20.07,8.10,24.37,112.00,104.0,112.0,20.00,10.00,24.07,112.00,206.81,,,,,,,,,,,,,,,80.25,8.00,88.25,0,32.37,32.37,32.37,8.12,40.49,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
560,4.44,164.44,CPU bound,4.44,164.44,,164.21,88.67,104.0,112.0,20.07,8.10,24.37,112.00,104.0,112.0,20.00,10.00,24.07,112.00,207.51,,,,,,,,,,,,,,,80.25,8.00,88.25,0,32.37,32.37,32.37,8.12,40.49,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
570,4.44,164.44,CPU bound,4.44,164.44,,164.21,88.76,104.0,112.0,20.07,8.10,24.38,112.00,104.0,112.0,20.00,10.00,24.07,112.00,207.29,,,,,,,,,,,,,,,80.25,8.00,88.25,0,32.37,32.37,32.37,8.12,40.49,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
580,4.44,164.44,CPU bound,4.44,164.44,,164.21,90.35,104.0,112.0,20.07,8.10,24.38,112.00,104.0,112.0,20.00,10.00,24.07,112.00,203.64,,,,,,,,,,,,,,,80.25,8.00,88.25,0,32.37,32.37,32.37,8.12,40.49,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
590,4.44,164.44,CPU bound,4.44,164.44,,164.21,90.02,104.0,112.0,20.07,8.10,24.38,112.00,104.0,112.0,20.00,10.00,24.07,112.00,204.41,,,,,,,,,,,,,,,80.25,8.00,88.25,0,32.37,32.37,32.37,8.12,40.49,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
600,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.32,104.0,112.0,20.07,8.10,24.33,112.00,104.0,112.0,20.00,10.00,24.07,112.00,205.99,,,,,,,,,,,,,,,80.25,8.00,88.25,0,32.37,32.37,32.37,8.00,40.37,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
610,4.44,164.44,CPU bound,4.44,164.44,,164.21,89.73,104.0,112.0,20.07,8.10,24.33,112.00,104.0,112.0,20.00,10.00,24.07,112.00,205.06,,,,,,,,,,,,,,,80.25,8.00,88.25,0,32.37,32.37,32.37,8.00,40.37,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
620,4.44,164.44,CPU bound,4.44,164.44,,164.21,88.95,104.0,112.0,20.07,8.10,24.33,112.00,104.0,112.0,20.00,10.00,24.07,112.00,206.86,,,,,,,,,,,,,,,80.25,8.00,88.25,0,32.37,32.37,32.37,8.00,40.37,80.00,8.00,88.00,32.00,8.00,40.00,32.00,8.00,40.00
