,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
240,3.20,246.15,0.11,5.73,440.76,0.20,325.28,318.63,23.7,14.0,8.2,16.3,10.3,48.7 ,23.7,14.0,8.0,28.0,9.0,59.0 ,60.26,16.6,16.4,8.2,57.2,11.2,57.68,8.24,65.92,57.20,57.20,114.40,27.44,8.16,35.60,57.12,8.12,65.24,32.50,8.12,40.62,24.50,8.12,32.62,56.00,8.00,64.00,56.00,8.00,64.00,24.00,8.00,32.00
250,3.21,246.92,0.11,5.73,440.76,0.20,325.28,317.35,23.7,14.0,8.1,16.3,10.3,48.7 ,23.7,14.0,8.0,28.0,9.0,59.0 ,60.50,16.8,16.9,8.2,57.1,11.2,57.60,8.32,65.92,57.12,57.12,114.24,27.28,8.16,35.44,57.00,8.12,65.12,32.50,8.25,40.75,24.50,8.12,32.62,56.00,8.00,64.00,56.00,8.00,64.00,24.00,8.00,32.00
260,3.21,246.92,0.11,5.73,440.76,0.20,325.28,314.67,23.7,14.0,8.1,16.3,9.2,47.6 ,23.7,14.0,8.0,28.0,9.0,59.0 ,61.02,17.5,16.4,8.5,57.1,11.0,59.44,8.32,67.76,57.12,57.04,114.16,26.72,8.16,34.88,57.00,8.12,65.12,32.50,8.12,40.62,24.50,8.25,32.75,56.00,8.00,64.00,56.00,8.00,64.00,24.00,8.00,32.00
270,3.21,246.92,0.11,5.73,440.76,0.20,325.28,319.93,23.7,14.0,8.1,16.2,9.3,47.7 ,23.7,14.0,8.0,28.0,9.0,59.0 ,60.01,16.3,16.8,8.6,57.0,11.1,60.72,8.16,68.88,57.04,57.04,114.08,26.96,8.16,35.12,57.00,8.12,65.12,32.50,8.12,40.62,24.50,8.37,32.87,56.00,8.00,64.00,56.00,8.00,64.00,24.00,8.00,32.00
280,3.21,246.92,0.11,5.73,440.76,0.20,325.28,320.81,23.7,14.0,8.1,16.2,10.3,48.6 ,23.7,14.0,8.0,28.0,9.0,59.0 ,59.85,16.6,16.3,8.5,57.0,11.1,59.44,8.24,67.68,57.04,56.96,114.00,26.96,8.16,35.12,56.87,8.12,64.99,32.50,8.12,40.62,24.50,8.12,32.62,56.00,8.00,64.00,56.00,8.00,64.00,24.00,8.00,32.00
290,3.22,247.69,0.11,5.73,440.76,0.20,325.28,323.05,23.7,14.0,8.1,16.2,10.3,48.6 ,23.7,14.0,8.0,28.0,9.0,59.0 ,59.43,16.6,16.8,8.3,57.0,11.0,57.84,8.16,66.00,56.96,56.96,113.92,26.72,8.16,34.88,56.87,8.12,64.99,32.50,8.12,40.62,24.37,8.12,32.49,56.00,8.00,64.00,56.00,8.00,64.00,24.00,8.00,32.00
300,3.22,247.69,0.11,5.73,440.76,0.20,325.42,326.14,23.7,14.0,8.1,16.2,9.2,47.6 ,23.7,14.0,8.0,28.0,9.0,59.0 ,58.87,16.6,16.3,8.2,56.9,10.9,57.84,8.16,66.00,56.96,56.96,113.92,26.32,8.08,34.40,56.87,8.12,64.99,32.37,8.12,40.49,24.37,8.25,32.62,56.00,8.00,64.00,56.00,8.00,64.00,24.00,8.00,32.00
310,3.22,247.69,0.11,5.73,440.76,0.20,325.28,319.27,23.7,14.0,8.1,16.2,10.2,48.6 ,23.7,14.0,8.0,28.0,9.0,59.0 ,60.14,16.3,16.7,8.4,56.9,11.4,58.64,8.24,66.88,56.88,56.88,113.76,27.84,8.08,35.92,56.87,8.12,64.99,32.37,8.12,40.49,24.37,8.00,32.37,56.00,8.00,64.00,56.00,8.00,64.00,24.00,8.00,32.00
320,3.22,247.69,0.11,5.73,440.76,0.20,325.42,301.30,23.7,14.0,10.1,16.2,10.3,50.6 ,23.7,14.0,8.0,28.0,9.0,59.0 ,63.72,17.8,16.3,9.9,56.9,11.6,70.48,8.32,78.80,56.88,56.88,113.76,28.56,8.08,36.64,73.00,8.12,81.12,32.37,8.12,40.49,24.37,8.12,32.49,56.00,8.00,64.00,56.00,8.00,64.00,24.00,8.00,32.00
330,3.22,247.69,0.11,5.73,440.76,0.20,325.42,322.01,23.7,14.0,8.1,16.2,10.3,48.6 ,23.7,14.0,8.0,28.0,9.0,59.0 ,59.63,16.6,16.7,8.3,56.8,11.1,58.48,8.24,66.72,56.88,56.80,113.68,27.20,8.08,35.28,56.75,8.12,64.87,32.37,8.12,40.49,24.37,8.12,32.49,56.00,8.00,64.00,56.00,8.00,64.00,24.00,8.00,32.00
340,3.22,247.69,0.11,5.73,440.76,0.20,325.42,328.19,23.7,14.0,8.1,16.2,10.3,48.6 ,23.7,14.0,8.0,28.0,9.0,59.0 ,58.50,16.7,16.3,8.3,56.8,10.8,58.08,8.24,66.32,56.80,56.80,113.60,26.00,8.08,34.08,56.75,8.12,64.87,32.37,8.12,40.49,24.37,8.12,32.49,56.00,8.00,64.00,56.00,8.00,64.00,24.00,8.00,32.00
350,3.23,248.46,0.11,5.73,440.76,0.20,325.28,319.86,23.7,14.0,8.1,16.2,9.2,47.5 ,23.7,14.0,8.0,28.0,9.0,59.0 ,60.03,16.3,16.6,9.1,56.8,11.0,64.48,8.24,72.72,56.80,56.80,113.60,26.88,8.08,34.96,56.62,8.12,64.74,32.37,8.00,40.37,24.25,8.37,32.62,56.00,8.00,64.00,56.00,8.00,64.00,24.00,8.00,32.00
360,3.23,248.46,0.11,5.73,440.76,0.20,325.28,310.86,23.7,14.0,10.1,16.2,9.2,49.5 ,23.7,14.0,8.0,28.0,9.0,59.0 ,61.76,16.9,16.3,9.9,56.8,11.5,70.64,8.32,78.96,56.80,56.72,113.52,28.40,8.08,36.48,72.75,8.12,80.87,32.37,8.12,40.49,24.25,8.12,32.37,56.00,8.00,64.00,56.00,8.00,64.00,24.00,8.00,32.00
370,3.22,247.69,0.11,5.73,440.76,0.20,325.42,321.06,23.7,14.0,10.1,16.2,9.2,49.5 ,23.7,14.0,8.0,28.0,9.0,59.0 ,59.80,16.2,16.6,8.5,56.7,11.2,59.60,8.32,67.92,56.72,56.72,113.44,27.28,8.16,35.44,72.87,8.12,80.99,32.37,8.12,40.49,24.37,8.25,32.62,56.00,8.00,64.00,56.00,8.00,64.00,24.00,8.00,32.00
380,3.22,247.69,0.11,5.22,401.53,0.14,304.76,313.22,23.7,14.0,10.1,16.2,9.3,49.6 ,23.7,14.0,12.0,28.0,9.0,63.0 ,61.30,17.5,16.8,9.6,56.7,11.1,68.08,8.40,76.48,56.72,56.72,113.44,27.12,8.08,35.20,72.87,8.12,80.99,32.37,8.12,40.49,24.37,8.62,32.99,88.00,8.00,96.00,56.00,8.00,64.00,24.00,8.00,32.00
390,3.23,248.46,0.11,5.22,401.53,0.14,304.63,311.03,23.7,14.0,10.1,16.2,9.2,49.5 ,23.7,14.0,12.0,28.0,9.0,63.0 ,61.73,16.5,16.5,10.0,56.7,11.2,71.84,8.40,80.24,56.72,56.72,113.44,27.28,8.08,35.36,72.75,8.12,80.87,32.37,8.12,40.49,24.37,8.25,32.62,88.00,8.00,96.00,56.00,8.00,64.00,24.00,8.00,32.00
400,3.23,248.46,0.11,5.22,401.53,0.14,304.63,311.57,23.7,14.0,10.1,16.2,9.2,49.4 ,23.7,14.0,12.0,28.0,9.0,63.0 ,61.62,16.9,16.8,10.3,56.7,11.2,74.00,8.40,82.40,56.72,56.64,113.36,27.44,8.08,35.52,72.75,8.12,80.87,32.37,8.12,40.49,24.25,8.12,32.37,88.00,8.00,96.00,56.00,8.00,64.00,24.00,8.00,32.00
410,3.23,248.46,0.11,5.22,401.53,0.14,304.63,309.31,23.7,14.0,10.1,16.2,10.2,50.4 ,23.7,14.0,12.0,28.0,9.0,63.0 ,62.07,16.9,16.5,10.7,56.7,11.2,77.52,8.48,86.00,56.64,56.64,113.28,27.28,8.08,35.36,72.75,8.12,80.87,32.37,8.12,40.49,24.25,8.00,32.25,88.00,8.00,96.00,56.00,8.00,64.00,24.00,8.00,32.00
420,3.23,248.46,0.11,5.22,401.53,0.14,304.76,306.32,23.7,14.0,10.1,16.2,9.2,49.5 ,23.7,14.0,12.0,28.0,9.0,63.0 ,62.68,16.9,16.7,10.5,56.7,11.5,75.68,8.40,84.08,56.72,56.64,113.36,28.40,8.08,36.48,72.75,8.12,80.87,32.25,8.12,40.37,24.37,8.12,32.49,88.00,8.00,96.00,56.00,8.00,64.00,24.00,8.00,32.00
430,3.24,249.23,0.11,5.22,401.53,0.14,304.63,312.40,23.7,14.0,10.1,16.1,10.2,50.4 ,23.7,14.0,12.0,28.0,9.0,63.0 ,61.46,16.2,16.5,10.1,56.6,11.1,72.00,8.48,80.48,56.64,56.64,113.28,27.20,8.08,35.28,72.62,8.12,80.74,32.25,8.12,40.37,24.25,7.87,32.12,88.00,8.00,96.00,56.00,8.00,64.00,24.00,8.00,32.00
440,3.24,249.23,0.12,5.22,401.53,0.14,304.63,312.32,23.7,14.0,10.1,16.1,9.3,49.6 ,23.7,14.0,12.0,28.0,9.0,63.0 ,61.48,16.7,16.7,9.9,56.6,11.1,70.56,8.48,79.04,56.64,56.64,113.28,27.12,8.08,35.20,72.62,8.12,80.74,32.25,8.12,40.37,24.25,8.75,33.00,88.00,8.00,96.00,56.00,8.00,64.00,24.00,8.00,32.00
450,3.24,249.23,0.12,5.22,401.53,0.14,304.63,306.91,23.7,14.0,12.1,16.1,9.2,51.5 ,23.7,14.0,12.0,28.0,9.0,63.0 ,62.56,17.7,16.4,10.6,56.6,11.4,76.16,8.40,84.56,56.64,56.56,113.20,28.08,8.08,36.16,88.75,8.12,96.87,32.25,8.12,40.37,24.25,8.37,32.62,88.00,8.00,96.00,56.00,8.00,64.00,24.00,8.00,32.00
460,3.24,249.23,0.12,5.22,401.53,0.14,304.63,305.67,23.7,14.0,12.1,16.1,9.2,51.4 ,23.7,14.0,12.0,28.0,9.0,63.0 ,62.81,16.7,16.7,11.3,56.6,11.4,82.08,8.48,90.56,56.64,56.56,113.20,27.84,8.08,35.92,88.75,8.12,96.87,32.25,8.12,40.37,24.25,8.25,32.50,88.00,8.00,96.00,56.00,8.00,64.00,24.00,8.00,32.00
470,3.24,249.23,0.12,5.22,401.53,0.14,304.76,311.92,23.7,14.0,12.1,16.1,9.2,51.5 ,23.7,14.0,12.0,28.0,9.0,63.0 ,61.55,16.2,16.4,10.4,56.6,11.2,74.40,8.48,82.88,56.56,56.56,113.12,27.52,8.08,35.60,88.75,8.12,96.87,32.25,8.12,40.37,24.25,8.37,32.62,88.00,8.00,96.00,56.00,8.00,64.00,24.00,8.00,32.00
