,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
240,13.55,1042.30,0.46,13.82,1063.07,0.46,628.78,666.54,24.0,14.0,14.3,14.3,16.9,59.5 ,24.0,14.0,14.0,14.0,16.5,58.5 ,55.21,27.2,15.4,14.4,14.3,17.2,49.36,8.16,57.52,49.12,8.08,57.20,16.80,8.16,24.96,49.00,8.12,57.12,49.00,8.12,57.12,16.37,8.12,24.49,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
250,13.56,1043.07,0.46,13.82,1063.07,0.46,629.05,678.29,24.0,14.0,14.3,14.3,17.1,59.6 ,24.0,14.0,14.0,14.0,16.5,58.5 ,54.25,28.4,16.1,14.4,14.3,17.1,49.28,8.16,57.44,49.04,8.08,57.12,16.64,8.16,24.80,49.00,8.12,57.12,49.00,8.12,57.12,16.37,8.37,24.74,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
260,13.56,1043.07,0.46,13.82,1063.07,0.46,628.78,700.63,24.0,14.0,14.3,14.3,16.8,59.3 ,24.0,14.0,14.0,14.0,16.5,58.5 ,52.52,24.4,13.5,14.4,14.3,17.1,49.28,8.16,57.44,48.96,8.08,57.04,16.64,8.16,24.80,48.87,8.12,56.99,48.87,8.12,56.99,16.37,8.00,24.37,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
270,13.59,1045.38,0.46,13.82,1063.07,0.46,629.05,722.84,24.0,14.0,14.2,14.2,16.8,59.3 ,24.0,14.0,14.0,14.0,16.5,58.5 ,50.91,25.5,14.5,14.3,14.2,17.1,49.04,8.16,57.20,48.96,8.00,56.96,16.64,8.16,24.80,48.87,8.12,56.99,48.87,8.12,56.99,16.37,8.12,24.49,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
280,13.60,1046.15,0.46,13.82,1063.07,0.46,629.05,716.30,24.0,14.0,14.2,14.2,16.8,59.3 ,24.0,14.0,14.0,14.0,16.5,58.5 ,51.37,26.7,15.1,14.3,14.3,17.0,49.04,8.16,57.20,48.88,8.08,56.96,16.56,8.16,24.72,48.75,8.12,56.87,48.75,8.12,56.87,16.37,8.12,24.49,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
290,13.60,1046.15,0.46,13.82,1063.07,0.46,629.05,719.55,24.0,14.0,14.2,14.2,16.9,59.3 ,24.0,14.0,14.0,14.0,16.5,58.5 ,51.14,28.0,15.6,14.3,14.2,17.0,48.96,8.08,57.04,48.88,8.08,56.96,16.56,8.16,24.72,48.75,8.12,56.87,48.75,8.12,56.87,16.37,8.25,24.62,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
300,13.61,1046.92,0.46,13.82,1063.07,0.46,629.05,695.22,24.0,14.0,14.2,14.2,16.7,59.2 ,24.0,14.0,14.0,14.0,16.5,58.5 ,52.93,24.3,13.4,14.3,14.2,17.0,48.96,8.08,57.04,48.88,8.08,56.96,16.64,8.16,24.80,48.75,8.12,56.87,48.75,8.12,56.87,16.37,8.00,24.37,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
310,13.61,1046.92,0.46,13.82,1063.07,0.46,629.05,717.10,24.0,14.0,14.2,14.2,16.7,59.2 ,24.0,14.0,14.0,14.0,16.5,58.5 ,51.32,25.3,14.3,14.2,14.2,17.0,48.88,8.08,56.96,48.80,7.92,56.72,16.56,8.08,24.64,48.75,8.12,56.87,48.75,8.12,56.87,16.25,8.00,24.25,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
320,13.62,1047.69,0.46,13.82,1063.07,0.46,628.78,664.63,24.0,14.0,14.2,14.2,16.8,59.2 ,24.0,14.0,14.0,14.0,16.5,58.5 ,55.37,26.6,14.8,14.5,14.2,17.1,50.00,8.16,58.16,48.88,8.08,56.96,16.72,8.08,24.80,48.75,8.12,56.87,48.75,8.12,56.87,16.25,8.12,24.37,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
330,13.62,1047.69,0.46,13.82,1063.07,0.46,629.05,719.79,24.0,14.0,14.2,14.2,16.8,59.2 ,24.0,14.0,14.0,14.0,16.5,58.5 ,51.13,27.5,15.3,14.3,14.2,17.0,48.96,8.08,57.04,48.80,8.08,56.88,16.56,8.08,24.64,48.75,8.12,56.87,48.75,8.12,56.87,16.25,8.12,24.37,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
