,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction),,,,,,,,
1000,3.18,397.5,0.2,2.79,348.75,0.17,318.75,344.54,12,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,53.41,8.08,48.24,56.32,7.52,32.08,39.6,8,31.84,39.84,48.12,8,56.12,32.12,8,40.12,32.12,8,40.12
1010,3.18,397.5,0.2,2.79,348.75,0.17,318.75,347.89,12,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,52.89,8.08,48.24,56.32,7.68,32.16,39.84,8.24,31.84,40.08,48.12,8,56.12,32.12,8,40.12,32.12,8,40.12
1020,3.18,397.5,0.2,2.79,348.75,0.17,318.75,348.41,10,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,52.81,8.08,46.4,54.48,7.76,32.08,39.84,8.72,32,40.72,48.12,8,56.12,32.12,8,40.12,32.12,8,40.12
1030,3.18,397.5,0.2,2.79,348.75,0.17,318.75,343.73,10,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,53.53,8.08,48.4,56.48,7.68,32.08,39.76,9.12,32.08,41.2,48.12,8,56.12,32.12,8,40.12,32.12,8,40.12
1040,3.18,397.5,0.2,2.79,348.75,0.17,318.89,350.1,10,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,52.56,8.08,48.4,56.48,7.6,32.08,39.68,9.52,32.08,41.6,48.12,8,56.12,32,8,40,32,8,40
1050,3.18,397.5,0.2,2.79,348.75,0.17,318.75,349.44,12,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,52.66,8.08,48.4,56.48,7.68,32.08,39.76,10,32.08,42.08,48.12,8,56.12,32,8,40,32,8,40
1060,3.18,397.5,0.2,2.79,348.75,0.17,318.75,353.19,10,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,52.1,8.08,48.4,56.48,7.68,32.08,39.76,10.4,32.08,42.48,48.12,8,56.12,32,8,40,32,8,40
1070,3.18,397.5,0.2,2.79,348.75,0.17,318.75,353.05,10,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,52.12,8.08,48.4,56.48,7.68,32.08,39.76,10.72,32.16,42.88,48.12,8,56.12,32,8,40,32,8,40
1080,3.18,397.5,0.2,2.79,348.75,0.17,318.75,353.04,12,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,52.12,8.08,48.4,56.48,7.6,32.08,39.68,11.12,32.16,43.28,48.12,8,56.12,32,8,40,32,8,40
1090,3.18,397.5,0.2,2.79,348.75,0.17,318.75,355.09,10,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,51.82,8.08,48.4,56.48,7.68,32.08,39.76,11.44,32.16,43.6,48.12,8,56.12,32,8,40,32,8,40
1100,3.18,397.5,0.2,2.79,348.75,0.17,318.89,352.63,10,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,52.18,8.08,48.32,56.4,7.68,32.08,39.76,11.84,32.16,44,48.12,8,56.12,32,8,40,32,8,40
1110,3.18,397.5,0.2,2.79,348.75,0.17,318.75,355.55,10,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,51.75,8.08,48.32,56.4,7.76,32.08,39.84,12.16,32.16,44.32,48.12,8,56.12,32,8,40,32,8,40
1120,3.18,397.5,0.2,2.79,348.75,0.17,318.75,352.07,12,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,52.26,8.08,48.48,56.56,7.68,32.08,39.76,12.48,32.16,44.64,48.12,8,56.12,32,8,40,32,8,40
1130,3.18,397.5,0.2,2.79,348.75,0.17,318.75,355.92,12,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,51.7,8.08,48.32,56.4,7.68,32.08,39.76,12.8,32.16,44.96,48.12,8,56.12,32,8,40,32,8,40
1140,3.18,397.5,0.2,2.79,348.75,0.17,318.89,355.13,12,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,51.81,8.08,48.32,56.4,7.68,32.08,39.76,13.04,32.16,45.2,48.12,8,56.12,32,8,40,32,8,40
1150,3.18,397.5,0.2,2.79,348.75,0.17,318.75,356.18,12,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,51.66,8.08,48.48,56.56,7.76,32.08,39.84,13.36,32.16,45.52,48.12,8,56.12,32,8,40,32,8,40
1160,3.18,397.5,0.2,2.79,348.75,0.17,318.89,357.93,10,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,51.41,8.08,48.32,56.4,7.6,32.08,39.68,13.6,32.16,45.76,48.12,8,56.12,32,8,40,32,8,40
1170,3.18,397.5,0.2,2.79,348.75,0.17,318.75,357.16,10,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,51.52,8.08,48.32,56.4,7.68,32.08,39.76,13.92,32.16,46.08,48.12,8,56.12,32,8,40,32,8,40
1180,3.18,397.5,0.2,2.79,348.75,0.17,318.89,355.19,12,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,51.8,8.08,48.32,56.4,7.68,32.08,39.76,14.16,32.16,46.32,48.12,8,56.12,32,8,40,32,8,40
1190,3.18,397.5,0.2,2.79,348.75,0.17,318.75,358.89,10,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,51.27,8.08,48.32,56.4,7.68,32.08,39.76,14.4,32.16,46.56,48.12,8,56.12,32,8,40,32,8,40
1200,3.18,397.5,0.2,2.79,348.75,0.17,318.75,356.26,10,8,14,10,26.2,58.3,12,7.5,14,10,26.2,57.7,51.65,8.08,48.32,56.4,7.68,32.08,39.76,14.64,32.16,46.8,48.12,8,56.12,32,8,40,32,8,40
