N,iterations,time,blocking options,flop,lup,Gflop/s,Mlup/s,cy/CL,l1-l2 miss,l1-l2 evict,l2-l3 miss,l2-l3 evict,l3-mem miss,l3-mem evict,l1-l2 total,l2-l3 total,l3-mem total
860,2,2.884070,L2 860 860 860 16 19 860,10106059392,1263257424,3.50,438.00,44.64,64.70,8.32,34.64,34.51,226385781.00,105584692.00,73.02,69.15,331970473.00
870,2,3.061677,L2 870 870 870 16 19 870,10463552512,1307944064,3.41,427.19,45.68,64.94,8.32,35.02,34.92,235735348.00,109329671.00,73.26,69.94,345065019.00
880,2,3.187820,L2 880 880 880 16 19 880,10829378432,1353672304,3.39,424.63,45.68,64.96,8.32,35.23,35.11,244627087.00,113169184.00,73.28,70.34,357796271.00
890,2,3.229366,L2 890 890 890 16 18 890,11203633152,1400454144,3.46,433.66,44.64,64.77,8.32,35.03,34.95,252426313.00,117069458.00,73.09,69.98,369495771.00
900,2,3.455176,L2 900 900 900 16 18 900,11586412672,1448301584,3.35,419.16,46.80,64.73,8.31,34.88,34.79,260817093.00,121009626.00,73.04,69.67,381826719.00
910,2,3.372285,L2 910 910 910 16 18 910,11977812992,1497226624,3.54,443.97,43.60,64.77,8.31,34.56,34.46,267898748.00,125150046.00,73.08,69.02,393048794.00
920,2,3.727731,L2 920 920 920 16 18 920,12377930112,1547241264,3.31,415.06,46.80,64.89,8.30,35.27,35.17,279891740.00,129331140.00,73.19,70.44,409222880.00
930,2,3.669158,L2 930 930 930 16 18 930,12786860032,1598357504,3.48,435.61,44.64,64.87,8.30,35.02,34.92,287360260.00,133594736.00,73.17,69.94,420954996.00
940,2,3.747254,L2 940 940 940 16 17 940,13204698752,1650587344,3.52,440.47,43.60,64.73,8.29,34.69,34.56,295831660.00,137939630.00,73.02,69.25,433771290.00
950,2,4.040765,L2 950 950 950 16 17 950,13631542272,1703942784,3.37,421.68,45.68,64.78,8.29,35.19,35.08,308398660.00,142412828.00,73.07,70.27,450811488.00
960,2,4.236917,L2 960 960 960 16 17 960,14067486592,1758435824,3.31,415.02,46.80,64.40,8.28,34.68,34.56,314597340.00,146974143.00,72.68,69.24,461571483.00
970,2,4.236784,L2 970 970 970 16 17 970,14512627712,1814078464,3.42,428.17,45.68,64.73,8.29,34.92,34.81,326448010.00,151605410.00,73.02,69.73,478053420.00
