;kerncraft: Roofline w. Cache Sim.;;kerncraft: Roofline w. LC;;kerncraft: ECM w. Cache Sim.;;kerncraft: ECM w. LC;;kerncraft: Bench;;;;L1;;;;L2;;;;L3;;;
90;0;0;;;0;0;;;19.84;967.56;0;0;0.07814312401558;0.760637033515569;0.789928412737596;41.28;0.760637033515569;0.779347296639065;0.779442211667276;33.84;0.779347296639065;0.8;0.8;0
100;0;0;;;0;0;;;17.93;1071.05;0;0;0.078109744190588;0.760908334324099;0.789928412737596;41.04;0.760908334324099;0.779442211667276;0.779537149817296;33.68;0.779442211667276;0.799900012498438;0.799900012498438;0.16
110;0;0;;;0;0;;;18.27;1050.62;0;0;0.078231957754743;0.760908334324099;0.789928412737596;41.04;0.760908334324099;0.779537149817296;0.779632111097576;33.52;0.779537149817296;0.79960019990005;0.799900012498438;0.4
120;0;0;;;0;0;;;18.78;1022.29;0;0;0.078275014370804;0.760998810939358;0.789928412737596;40.96;0.760998810939358;0.779632111097576;0.779632111097576;33.44;0.779632111097576;0.798004987531172;0.79950031230481;2
130;0;0;;;0;0;;;21.56;890.43;0;0;0.078293208064201;0.760998810939358;0.789928412737596;40.96;0.760998810939358;0.779347296639065;0.779347296639065;33.92;0.779347296639065;0.795031055900621;0.798702109072757;5.04
140;0;0;;;0;0;;;21.68;885.8;0;0;0.078258742968941;0.761089309073612;0.790025922725589;40.8;0.761089309073612;0.779157535914293;0.779252404724218;34.16;0.779157535914293;0.793552386856789;0.795624067628046;8.72
150;0;0;;;0;0;;;23.19;827.94;0;0;0.078399666801416;0.761089309073612;0.790025922725589;40.8;0.761089309073612;0.779632111097576;0.779632111097576;33.44;0.779632111097576;0.791687283523008;0.794833581718828;10.88
160;0;0;;;0;0;;;24.06;797.96;0;0;0.078304703176235;0.761089309073612;0.790025922725589;40.8;0.761089309073612;0.779442211667276;0.779442211667276;33.76;0.779442211667276;0.787886248922812;0.797309081848761;12
170;0;0;;;0;0;;;25.24;760.79;0;0;0.078371825328794;0.76127036992982;0.790025922725589;40.64;0.76127036992982;0.778304754955612;0.778210116731518;35.76;0.778304754955612;0.785661674441444;0.792177249659611;18
180;0;0;;;0;0;;;27.34;702.29;0;0;0.078340167696922;0.76127036992982;0.790025922725589;40.64;0.76127036992982;0.776604780973183;0.776604780973183;38.56;0.776604780973183;0.791589363017935;0.791785228256835;13.44
190;0;0;;;0;0;;;32.53;590.19;0;0;0.078398706421344;0.76127036992982;0.790025922725589;40.64;0.76127036992982;0.768215100228064;0.768215100228064;52.96;0.768215100228064;0.78633738788549;0.791687283523008;17.84
200;0;0;;;0;0;;;33.77;568.52;0;0;0.07841599686336;0.761360932667142;0.790025922725589;40.56;0.761360932667142;0.765916706558162;0.765916706558162;56.96;0.765916706558162;0.78297039393198;0.79335564646089;19.28
210;0;0;;;0;0;;;35.05;547.85;0;0;0.078419840219576;0.761360932667142;0.790025922725589;40.56;0.761360932667142;0.763996657514623;0.763996657514623;60.32;0.763996657514623;0.785854616895874;0.79335564646089;16.88
220;0;0;;;0;0;;;35.63;538.87;0;0;0.078391984419593;0.761360932667142;0.790025922725589;40.56;0.761360932667142;0.762540212081496;0.762540212081496;62.88;0.762540212081496;0.78239608801956;0.79335564646089;19.76
230;0;0;;;0;0;;;35.63;538.84;0;0;0.078478498117742;0.761360932667142;0.790025922725589;40.56;0.761360932667142;0.761814069753601;0.761904761904762;64.08;0.761814069753601;0.778967867575463;0.796614388847399;20
240;0;0;;;0;0;;;35.54;540.27;0;0;0.078412153883852;0.761360932667142;0.790025922725589;40.56;0.761360932667142;0.761451516954194;0.761451516954194;64.8;0.761451516954194;0.789830926817228;0.790025922725589;16.32
250;0;0;;;0;0;;;36.17;530.89;0;0;0.078452523964795;0.761451516954194;0.790025922725589;40.48;0.761451516954194;0.761451516954194;0.761451516954194;64.8;0.761451516954194;0.786047654139032;0.791687283523008;18.08
260;0;0;;;0;0;;;36.27;529.36;0;0;0.078428489148683;0.761451516954194;0.790025922725589;40.48;0.761451516954194;0.761451516954194;0.761451516954194;64.8;0.761451516954194;0.786047654139032;0.791687283523008;18.08
