,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
240,5.65,434.61,0.20,9.16,704.61,0.33,536.08,526.32,14.6,8.0,5.1,8.1,6.8,27.9 ,14.6,8.0,5.0,16.0,6.8,35.8 ,36.48,11.7,7.7,5.1,32.4,6.9,32.48,8.08,40.56,32.40,32.40,64.80,16.40,8.08,24.48,32.37,8.12,40.49,16.12,8.12,24.24,16.25,7.87,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
250,5.66,435.38,0.20,9.16,704.61,0.33,536.08,517.80,14.6,8.0,5.1,8.1,6.9,28.0 ,14.6,8.0,5.0,16.0,6.8,35.8 ,37.08,12.4,7.7,5.1,32.4,7.0,32.40,8.08,40.48,32.40,32.40,64.80,16.80,8.08,24.88,32.37,8.12,40.49,16.12,8.12,24.24,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
260,5.66,435.38,0.20,9.16,704.61,0.33,536.08,536.73,14.6,8.0,5.0,8.1,6.9,28.0 ,14.6,8.0,5.0,16.0,6.8,35.8 ,35.77,12.4,7.6,5.1,32.3,6.9,32.32,8.08,40.40,32.32,32.32,64.64,16.48,8.08,24.56,32.37,8.12,40.49,16.12,8.12,24.24,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
270,5.67,436.15,0.20,9.16,704.61,0.33,536.08,544.25,14.6,8.0,5.0,8.1,6.8,27.9 ,14.6,8.0,5.0,16.0,6.8,35.8 ,35.28,12.3,7.7,5.0,32.3,6.9,32.32,8.08,40.40,32.32,32.32,64.64,16.32,8.08,24.40,32.25,8.00,40.25,16.12,8.12,24.24,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
280,5.66,435.38,0.20,9.16,704.61,0.33,536.08,532.42,14.6,8.0,5.0,8.1,6.8,27.9 ,14.6,8.0,5.0,16.0,6.8,35.8 ,36.06,12.3,7.6,5.0,32.3,7.0,32.32,8.08,40.40,32.32,32.32,64.64,16.64,8.08,24.72,32.37,8.00,40.37,16.12,8.00,24.12,16.25,8.00,24.25,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
290,5.67,436.15,0.20,9.16,704.61,0.33,536.08,542.66,14.6,8.0,5.0,8.1,6.8,27.9 ,14.6,8.0,5.0,16.0,6.8,35.8 ,35.38,12.4,7.6,5.0,32.3,6.9,32.32,8.08,40.40,32.32,32.32,64.64,16.32,8.08,24.40,32.25,8.00,40.25,16.12,8.12,24.24,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
300,5.67,436.15,0.20,9.16,704.61,0.33,536.08,539.85,14.6,8.0,5.0,8.1,6.8,27.9 ,14.6,8.0,5.0,16.0,6.8,35.8 ,35.57,12.0,7.5,5.0,32.3,6.9,32.32,8.08,40.40,32.32,32.32,64.64,16.32,8.08,24.40,32.25,8.00,40.25,16.12,8.00,24.12,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
310,5.67,436.15,0.20,9.16,704.61,0.33,536.31,541.54,14.6,8.0,5.0,8.1,6.9,28.0 ,14.6,8.0,5.0,16.0,6.8,35.8 ,35.45,12.5,7.6,5.0,32.3,6.9,32.32,8.08,40.40,32.32,32.32,64.64,16.48,8.08,24.56,32.25,8.00,40.25,16.12,8.00,24.12,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
320,5.67,436.15,0.20,9.16,704.61,0.33,536.31,530.65,14.6,8.0,5.0,8.1,6.8,27.9 ,14.6,8.0,5.0,16.0,6.8,35.8 ,36.18,12.3,7.5,5.0,32.3,7.0,32.32,8.08,40.40,32.32,32.32,64.64,16.56,8.08,24.64,32.25,8.00,40.25,16.12,8.00,24.12,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
330,5.67,436.15,0.20,9.16,704.61,0.33,536.08,544.11,14.6,8.0,5.0,8.0,6.8,27.9 ,14.6,8.0,5.0,16.0,6.8,35.8 ,35.29,12.2,7.5,5.0,32.3,6.9,32.24,8.08,40.32,32.32,32.24,64.56,16.48,8.08,24.56,32.25,8.00,40.25,16.12,8.00,24.12,16.12,7.87,23.99,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
