,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
230,4.85,692.85,0.29,4.89,698.57,0.29,418.18,473.88,12.0,7.5,10.1,10.1,16.7,44.4 ,12.0,7.5,10.0,10.0,16.5,44.0 ,38.83,12.9,7.7,10.1,10.1,16.8,32.48,8.08,40.56,32.40,7.92,40.32,16.40,8.08,24.48,32.37,8.12,40.49,32.37,8.12,40.49,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
240,4.85,692.85,0.29,4.89,698.57,0.29,418.18,464.45,12.0,7.5,10.1,10.1,16.7,44.3 ,12.0,7.5,10.0,10.0,16.5,44.0 ,39.62,13.2,8.0,10.1,10.0,16.9,32.48,8.08,40.56,32.40,7.84,40.24,16.48,8.08,24.56,32.25,8.12,40.37,32.25,8.12,40.37,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
250,4.86,694.28,0.29,4.89,698.57,0.29,418.00,469.92,12.0,7.5,10.1,10.1,16.6,44.3 ,12.0,7.5,10.0,10.0,16.5,44.0 ,39.16,12.9,7.8,10.1,10.0,16.8,32.40,8.08,40.48,32.32,7.76,40.08,16.40,8.08,24.48,32.25,8.12,40.37,32.25,8.12,40.37,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
260,4.84,691.42,0.29,4.89,698.57,0.29,418.00,463.56,12.0,7.5,10.1,10.1,16.7,44.4 ,12.0,7.5,10.0,10.0,16.5,44.0 ,39.69,13.2,7.9,10.1,10.1,16.9,32.40,8.08,40.48,32.32,7.92,40.24,16.40,8.08,24.48,32.37,8.12,40.49,32.37,8.12,40.49,16.25,8.00,24.25,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
270,4.85,692.85,0.29,4.89,698.57,0.29,418.00,468.20,12.0,7.5,10.1,10.1,16.7,44.3 ,12.0,7.5,10.0,10.0,16.5,44.0 ,39.30,12.8,7.7,10.1,10.0,16.8,32.32,8.08,40.40,32.32,7.84,40.16,16.32,8.08,24.40,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
280,4.84,691.42,0.29,4.89,698.57,0.29,418.00,460.53,12.0,7.5,10.1,10.1,16.7,44.4 ,12.0,7.5,10.0,10.0,16.5,44.0 ,39.95,13.1,7.7,10.1,10.0,16.8,32.40,8.08,40.48,32.32,7.92,40.24,16.32,8.08,24.40,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
290,4.84,691.42,0.29,4.89,698.57,0.29,418.18,462.26,12.0,7.5,10.1,10.1,16.7,44.4 ,12.0,7.5,10.0,10.0,16.5,44.0 ,39.80,12.8,7.7,10.1,10.1,16.8,32.32,8.08,40.40,32.32,7.92,40.24,16.32,8.08,24.40,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
300,4.85,692.85,0.29,4.89,698.57,0.29,418.18,468.86,12.0,7.5,10.1,10.1,16.7,44.3 ,12.0,7.5,10.0,10.0,16.5,44.0 ,39.24,13.0,7.8,10.1,10.0,16.8,32.32,8.08,40.40,32.32,7.84,40.16,16.40,8.08,24.48,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
310,4.85,692.85,0.29,4.89,698.57,0.29,418.00,470.79,12.0,7.5,10.1,10.1,16.7,44.3 ,12.0,7.5,10.0,10.0,16.5,44.0 ,39.08,12.7,7.4,10.1,10.0,16.9,32.40,8.08,40.48,32.32,7.84,40.16,16.48,8.08,24.56,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
320,4.85,692.85,0.29,4.89,698.57,0.29,418.18,461.30,12.0,7.5,10.1,10.1,16.7,44.3 ,12.0,7.5,10.0,10.0,16.5,44.0 ,39.89,13.0,7.7,10.1,10.0,17.0,32.32,8.08,40.40,32.24,7.76,40.00,16.56,8.08,24.64,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
330,4.84,691.42,0.29,4.89,698.57,0.29,418.00,463.33,12.0,7.5,10.1,10.1,16.7,44.3 ,12.0,7.5,10.0,10.0,16.5,44.0 ,39.71,12.7,7.6,10.1,10.0,16.9,32.40,8.08,40.48,32.24,7.68,39.92,16.48,8.08,24.56,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
340,4.85,692.85,0.29,4.89,698.57,0.29,418.00,461.82,12.0,7.5,10.1,10.1,16.7,44.3 ,12.0,7.5,10.0,10.0,16.5,44.0 ,39.84,12.9,7.7,10.1,10.0,16.9,32.32,8.08,40.40,32.24,7.68,39.92,16.48,8.08,24.56,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
350,4.85,692.85,0.29,4.89,698.57,0.29,418.18,462.71,12.0,7.5,10.1,10.1,16.7,44.3 ,12.0,7.5,10.0,10.0,16.5,44.0 ,39.77,12.6,7.6,10.1,10.0,16.8,32.32,8.08,40.40,32.24,7.92,40.16,16.40,8.08,24.48,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
360,4.85,692.85,0.29,4.89,698.57,0.29,418.18,458.22,12.0,7.5,10.1,10.1,16.7,44.3 ,12.0,7.5,10.0,10.0,16.5,44.0 ,40.16,12.8,7.6,10.1,10.0,16.9,32.32,8.08,40.40,32.24,7.84,40.08,16.48,8.08,24.56,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
370,4.89,698.57,0.29,4.89,698.57,0.29,418.00,465.35,12.0,7.5,10.1,10.1,16.5,44.1 ,12.0,7.5,10.0,10.0,16.5,44.0 ,39.54,12.6,7.5,10.1,10.0,16.9,32.40,8.08,40.48,32.24,7.84,40.08,16.48,8.08,24.56,32.12,8.00,40.12,32.12,8.00,40.12,16.12,7.87,23.99,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
380,4.84,691.42,0.29,4.89,698.57,0.29,418.00,462.44,12.0,7.5,10.1,10.1,16.7,44.3 ,12.0,7.5,10.0,10.0,16.5,44.0 ,39.79,12.8,7.6,10.1,10.0,17.0,32.48,8.08,40.56,32.24,7.76,40.00,16.64,8.08,24.72,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
