,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
250,22.11,417.16,CPU bound,22.11,417.16,0.6,235.28,203.88,44.1,44,10.1,10.1,14.3,78.6,44.1,44,10,10,14.1,78.1,90.25,38.9,43.6,10.6,10.1,14.4,34.32,8.08,42.4,32.48,8.08,40.56,16.4,8.08,24.48,32.5,8.12,40.62,32.5,8.12,40.62,16.25,8,24.25,32,8,40,32,8,40,16,8,24
260,22.11,417.16,CPU bound,22.11,417.16,0.6,235.28,200.11,44.1,44,10.1,10.1,14.3,78.6,44.1,44,10,10,14.1,78.1,91.95,41.8,44.7,10.5,10.2,14.4,34.08,8.08,42.16,32.56,8.08,40.64,16.4,8.08,24.48,32.5,8.12,40.62,32.5,8.12,40.62,16.25,8.12,24.37,32,8,40,32,8,40,16,8,24
270,22.11,417.16,CPU bound,22.11,417.16,0.6,235.28,203.74,44.1,44,10.1,10.1,14.3,78.5,44.1,44,10,10,14.1,78.1,90.31,40.7,43.6,12,10.1,14.4,39.92,8.08,48,32.56,8,40.56,16.4,8.08,24.48,32.37,8,40.37,32.37,8,40.37,16.12,8,24.12,32,8,40,32,8,40,16,8,24
280,22.11,417.16,CPU bound,22.11,417.16,0.6,235.28,199.71,44.1,44,10.1,10.1,14.2,78.5,44.1,44,10,10,14.1,78.1,92.14,41.5,44.6,10.7,10.1,14.4,34.88,8.08,42.96,32.48,8.08,40.56,16.4,8.08,24.48,32.37,8,40.37,32.37,8,40.37,16.12,8,24.12,32,8,40,32,8,40,16,8,24
290,22.11,417.16,CPU bound,22.11,417.16,0.6,235.28,203.71,44.1,44,10.1,10.1,14.3,78.5,44.1,44,10,10,14.1,78.1,90.32,40.7,43.5,12.7,10.1,14.4,42.56,8.08,50.64,32.4,8,40.4,16.4,8.08,24.48,32.37,8,40.37,32.37,8,40.37,16.12,8,24.12,32,8,40,32,8,40,16,8,24
300,22.11,417.16,CPU bound,22.11,417.16,0.6,235.28,200.2,44.1,44,10.1,10.1,14.3,78.5,44.1,44,10,10,14.1,78.1,91.91,41.7,44.5,11.8,10.1,14.4,39.04,8.08,47.12,32.48,8.08,40.56,16.4,8.08,24.48,32.37,8,40.37,32.37,8,40.37,16.12,8,24.12,32,8,40,32,8,40,16,8,24
310,22.11,417.16,CPU bound,22.11,417.16,0.6,235.28,202.3,44.1,44,10.1,10.1,14.2,78.5,44.1,44,10,10,14.1,78.1,90.95,40.8,43.5,11.7,10.1,14.4,38.64,8.16,46.8,32.4,8.08,40.48,16.4,8.08,24.48,32.37,8,40.37,32.37,8,40.37,16.12,8,24.12,32,8,40,32,8,40,16,8,24
320,22.11,417.16,CPU bound,22.11,417.16,0.6,235.28,191.06,44.1,44,10.1,10.1,14.2,78.5,44.1,44,10,10,14.1,78.1,96.31,40.9,44.4,11.2,10.1,14.4,36.64,8.16,44.8,32.4,8,40.4,16.4,8.08,24.48,32.37,8,40.37,32.37,8,40.37,16.12,8,24.12,32,8,40,32,8,40,16,8,24
330,22.11,417.16,CPU bound,22.11,417.16,0.6,235.28,203.4,44.1,44,10.1,10.1,14.3,78.5,44.1,44,10,10,14.1,78.1,90.46,40.7,43.5,11.6,10.1,14.4,38.4,8.16,46.56,32.4,8.08,40.48,16.4,8.08,24.48,32.37,8,40.37,32.37,8,40.37,16.12,8,24.12,32,8,40,32,8,40,16,8,24
340,22.11,417.16,CPU bound,22.11,417.16,0.6,235.28,200.78,44.1,44,10.1,10.1,14.3,78.5,44.1,44,10,10,14.1,78.1,91.64,41.5,44.3,12.5,10.1,14.4,41.84,8.08,49.92,32.48,8,40.48,16.4,8.08,24.48,32.37,8,40.37,32.37,8,40.37,16.12,8.12,24.24,32,8,40,32,8,40,16,8,24
350,22.11,417.16,CPU bound,22.11,417.16,0.6,235.28,203.46,44.1,44,10.1,10.1,14.2,78.4,44.1,44,10,10,14.1,78.1,90.43,40.8,43.4,12.5,10.1,14.4,41.84,8.16,50,32.4,8,40.4,16.4,8.08,24.48,32.12,8,40.12,32.12,8,40.12,16.12,8.12,24.24,32,8,40,32,8,40,16,8,24
