,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
220,4.33,618.57,0.29,4.39,627.14,0.29,417.23,468.08,12.0,7.5,10.1,10.1,16.9,44.6 ,12.0,7.5,10.0,10.0,16.6,44.1 ,39.31,13.4,8.1,10.1,10.1,16.9,32.40,8.08,40.48,32.32,7.92,40.24,16.32,8.08,24.40,32.37,8.12,40.49,32.37,8.12,40.49,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
230,4.35,621.42,0.29,4.39,627.14,0.29,417.05,472.47,12.0,7.5,10.1,10.1,16.8,44.5 ,12.0,7.5,10.0,10.0,16.6,44.1 ,38.94,12.9,7.7,10.1,10.1,16.9,32.40,8.08,40.48,32.40,7.92,40.32,16.32,8.08,24.40,32.37,8.12,40.49,32.37,8.12,40.49,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
240,4.36,622.85,0.29,4.39,627.14,0.29,417.05,455.20,12.0,7.5,10.1,10.1,16.8,44.5 ,12.0,7.5,10.0,10.0,16.6,44.1 ,40.42,13.3,8.0,10.1,10.0,16.9,32.40,8.08,40.48,32.32,7.84,40.16,16.32,8.08,24.40,32.25,8.12,40.37,32.25,8.12,40.37,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
250,4.36,622.85,0.29,4.39,627.14,0.29,417.23,466.17,12.0,7.5,10.1,10.1,16.8,44.4 ,12.0,7.5,10.0,10.0,16.6,44.1 ,39.47,12.9,7.8,10.1,10.0,16.9,32.40,8.08,40.48,32.32,7.84,40.16,16.32,8.08,24.40,32.25,8.12,40.37,32.25,8.12,40.37,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
260,4.35,621.42,0.29,4.39,627.14,0.29,417.05,468.08,12.0,7.5,10.1,10.1,16.8,44.5 ,12.0,7.5,10.0,10.0,16.6,44.1 ,39.31,13.3,7.9,10.1,10.0,16.9,32.32,8.08,40.40,32.32,7.92,40.24,16.32,8.08,24.40,32.37,8.12,40.49,32.37,8.12,40.49,16.25,8.00,24.25,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
270,4.36,622.85,0.29,4.39,627.14,0.29,417.05,471.67,12.0,7.5,10.1,10.1,16.8,44.4 ,12.0,7.5,10.0,10.0,16.6,44.1 ,39.01,12.8,7.7,10.1,10.0,16.9,32.32,8.08,40.40,32.32,7.84,40.16,16.32,8.08,24.40,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
280,4.34,620.00,0.29,4.39,627.14,0.29,417.23,458.94,12.0,7.5,10.1,10.1,16.8,44.5 ,12.0,7.5,10.0,10.0,16.6,44.1 ,40.09,13.1,7.7,10.1,10.0,16.9,32.32,8.08,40.40,32.24,7.76,40.00,16.24,8.08,24.32,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
290,4.35,621.42,0.29,4.39,627.14,0.29,417.05,471.40,12.0,7.5,10.1,10.1,16.8,44.5 ,12.0,7.5,10.0,10.0,16.6,44.1 ,39.03,12.8,7.7,10.1,10.0,16.9,32.32,8.08,40.40,32.32,7.84,40.16,16.24,8.08,24.32,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
300,4.35,621.42,0.29,4.39,627.14,0.29,417.23,474.60,12.0,7.5,10.1,10.1,16.8,44.4 ,12.0,7.5,10.0,10.0,16.6,44.1 ,38.77,13.0,7.8,10.1,10.0,16.9,32.32,8.08,40.40,32.24,7.76,40.00,16.24,8.08,24.32,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
310,4.36,622.85,0.29,4.39,627.14,0.29,417.05,474.95,12.0,7.5,10.1,10.1,16.8,44.4 ,12.0,7.5,10.0,10.0,16.6,44.1 ,38.74,12.7,7.5,10.1,10.0,16.9,32.32,8.08,40.40,32.24,7.84,40.08,16.24,8.08,24.32,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
