,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
220,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,248.64,257.65,52.0,28.0,12.2,12.2,21.2,73.5 ,52.0,28.0,12.0,12.0,22.0,74.0 ,71.42,54.1,29.4,12.3,12.2,21.4,41.20,8.16,49.36,40.72,8.08,48.80,24.56,8.08,32.64,40.62,8.12,48.74,40.62,8.12,48.74,24.25,8.12,32.37,40.00,8.00,48.00,40.00,8.00,48.00,24.00,8.00,32.00
230,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,248.54,242.69,52.0,28.0,12.2,12.2,21.2,73.5 ,52.0,28.0,12.0,12.0,22.0,74.0 ,75.82,52.5,28.4,12.3,12.2,21.4,41.28,8.08,49.36,40.72,8.08,48.80,24.56,8.08,32.64,40.62,8.12,48.74,40.62,8.12,48.74,24.25,8.12,32.37,40.00,8.00,48.00,40.00,8.00,48.00,24.00,8.00,32.00
240,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,248.54,231.94,52.0,28.0,12.2,12.2,21.1,73.5 ,52.0,28.0,12.0,12.0,22.0,74.0 ,79.33,53.9,29.3,12.5,12.2,21.3,41.76,8.24,50.00,40.64,8.08,48.72,24.56,8.08,32.64,40.62,8.12,48.74,40.62,8.12,48.74,24.25,8.00,32.25,40.00,8.00,48.00,40.00,8.00,48.00,24.00,8.00,32.00
250,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,248.64,245.48,52.0,28.0,12.1,12.1,22.2,74.5 ,52.0,28.0,12.0,12.0,22.0,74.0 ,74.96,52.5,28.4,12.3,12.2,21.4,41.20,8.08,49.28,40.64,8.08,48.72,24.56,8.08,32.64,40.50,8.12,48.62,40.50,8.12,48.62,24.25,8.12,32.37,40.00,8.00,48.00,40.00,8.00,48.00,24.00,8.00,32.00
260,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,248.54,258.52,52.0,28.0,12.2,12.2,21.1,73.5 ,52.0,28.0,12.0,12.0,22.0,74.0 ,71.17,53.7,29.2,12.7,12.2,21.3,42.88,8.08,50.96,40.64,8.08,48.72,24.56,8.08,32.64,40.62,8.12,48.74,40.62,8.12,48.74,24.25,8.00,32.25,40.00,8.00,48.00,40.00,8.00,48.00,24.00,8.00,32.00
270,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,248.54,266.59,52.0,28.0,12.1,12.1,21.1,73.4 ,52.0,28.0,12.0,12.0,22.0,74.0 ,69.02,52.5,28.3,12.8,12.2,21.3,43.12,8.08,51.20,40.64,8.08,48.72,24.48,8.08,32.56,40.37,8.00,48.37,40.37,8.00,48.37,24.25,8.00,32.25,40.00,8.00,48.00,40.00,8.00,48.00,24.00,8.00,32.00
280,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,248.54,233.00,52.0,28.0,12.1,12.1,22.2,74.5 ,52.0,28.0,12.0,12.0,22.0,74.0 ,78.97,53.6,29.1,13.2,12.2,21.4,44.56,8.16,52.72,40.64,8.08,48.72,24.56,8.08,32.64,40.37,8.00,48.37,40.37,8.00,48.37,24.25,8.12,32.37,40.00,8.00,48.00,40.00,8.00,48.00,24.00,8.00,32.00
290,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,248.64,262.60,52.0,28.0,12.1,12.1,22.2,74.5 ,52.0,28.0,12.0,12.0,22.0,74.0 ,70.07,52.5,28.3,14.1,12.2,21.4,48.24,8.08,56.32,40.56,8.08,48.64,24.64,8.08,32.72,40.37,8.00,48.37,40.37,8.00,48.37,24.25,8.12,32.37,40.00,8.00,48.00,40.00,8.00,48.00,24.00,8.00,32.00
300,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,248.54,246.80,52.0,28.0,12.2,12.2,21.1,73.5 ,52.0,28.0,12.0,12.0,22.0,74.0 ,74.55,53.5,29.0,14.1,12.2,21.4,48.08,8.16,56.24,40.56,8.08,48.64,24.64,8.08,32.72,40.50,8.00,48.50,40.50,8.12,48.62,24.25,8.00,32.25,40.00,8.00,48.00,40.00,8.00,48.00,24.00,8.00,32.00
310,9.55,353.70,CPU bound. 9.55 GFLOP/s due to CPU bottleneck,9.55,353.70,,248.54,282.39,52.0,28.0,12.1,12.1,21.1,73.3 ,52.0,28.0,12.0,12.0,22.0,74.0 ,65.16,52.4,28.3,13.1,12.1,21.4,44.24,8.24,52.48,40.56,8.08,48.64,24.56,8.08,32.64,40.37,8.00,48.37,40.37,8.00,48.37,24.25,8.00,32.25,40.00,8.00,48.00,40.00,8.00,48.00,24.00,8.00,32.00
