,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
240,12.95,518.00,0.44,13.19,527.60,0.45,327.55,334.12,17.5,14.0,14.3,14.3,14.4,56.9 ,17.5,14.0,14.0,14.0,14.1,56.1 ,55.07,17.6,13.7,14.6,14.3,14.6,50.08,8.24,58.32,49.12,8.16,57.28,16.64,8.16,24.80,48.87,8.12,56.99,48.87,8.12,56.99,16.37,8.12,24.49,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
250,12.96,518.40,0.44,13.19,527.60,0.45,327.55,340.82,17.5,14.0,14.2,14.2,14.4,56.9 ,17.5,14.0,14.0,14.0,14.1,56.1 ,53.99,18.2,14.2,14.6,14.3,14.6,49.92,8.32,58.24,49.04,8.08,57.12,16.64,8.16,24.80,48.87,8.12,56.99,48.87,8.12,56.99,16.37,8.12,24.49,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
260,12.97,518.80,0.44,13.19,527.60,0.45,327.55,324.07,17.5,14.0,14.2,14.2,14.4,56.9 ,17.5,14.0,14.0,14.0,14.1,56.1 ,56.78,17.6,13.7,15.1,14.3,14.6,52.08,8.24,60.32,49.04,8.16,57.20,16.64,8.16,24.80,48.87,8.12,56.99,48.87,8.12,56.99,16.37,8.12,24.49,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
270,12.96,518.40,0.44,13.19,527.60,0.45,327.55,343.54,17.5,14.0,14.3,14.3,14.5,57.0 ,17.5,14.0,14.0,14.0,14.1,56.1 ,53.56,18.1,14.1,15.1,14.3,14.6,52.16,8.16,60.32,48.96,8.08,57.04,16.64,8.16,24.80,48.87,8.12,56.99,48.87,8.12,56.99,16.37,8.12,24.49,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
280,12.96,518.40,0.44,13.19,527.60,0.45,327.55,343.40,17.5,14.0,14.2,14.2,14.4,56.9 ,17.5,14.0,14.0,14.0,14.1,56.1 ,53.58,17.6,13.6,14.5,14.3,14.6,49.92,8.16,58.08,48.96,8.08,57.04,16.64,8.16,24.80,48.87,8.12,56.99,48.87,8.12,56.99,16.37,8.12,24.49,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
290,12.99,519.60,0.44,13.19,527.60,0.45,327.55,354.40,17.5,14.0,14.2,14.2,14.3,56.7 ,17.5,14.0,14.0,14.0,14.1,56.1 ,51.92,18.0,14.0,14.4,14.3,14.6,49.44,8.16,57.60,48.96,8.08,57.04,16.56,8.16,24.72,48.75,8.12,56.87,48.75,8.12,56.87,16.37,7.87,24.24,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
300,12.99,519.60,0.44,13.19,527.60,0.45,327.55,349.87,17.5,14.0,14.2,14.2,14.4,56.8 ,17.5,14.0,14.0,14.0,14.1,56.1 ,52.59,17.6,13.6,14.4,14.2,14.6,49.44,8.16,57.60,48.88,8.08,56.96,16.56,8.16,24.72,48.75,8.12,56.87,48.75,8.12,56.87,16.25,8.12,24.37,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
310,13.00,520.00,0.44,13.19,527.60,0.45,327.55,351.39,17.5,14.0,14.2,14.2,14.4,56.8 ,17.5,14.0,14.0,14.0,14.1,56.1 ,52.36,18.0,13.9,14.5,14.2,14.6,49.68,8.16,57.84,48.88,8.08,56.96,16.56,8.16,24.72,48.75,8.12,56.87,48.75,8.12,56.87,16.25,8.12,24.37,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
320,13.00,520.00,0.44,13.19,527.60,0.45,327.55,305.78,17.5,14.0,14.2,14.2,14.4,56.8 ,17.5,14.0,14.0,14.0,14.1,56.1 ,60.17,17.7,13.5,17.5,14.5,14.6,61.52,8.40,69.92,49.76,8.08,57.84,16.56,8.16,24.72,48.75,8.12,56.87,48.75,8.12,56.87,16.25,8.12,24.37,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
330,13.00,520.00,0.44,13.19,527.60,0.45,327.55,346.77,17.5,14.0,14.2,14.2,14.3,56.7 ,17.5,14.0,14.0,14.0,14.1,56.1 ,53.06,18.0,13.9,14.7,14.2,14.5,50.48,8.24,58.72,48.72,8.08,56.80,16.56,8.16,24.72,48.75,8.12,56.87,48.75,8.12,56.87,16.25,8.00,24.25,48.00,8.00,56.00,48.00,8.00,56.00,16.00,8.00,24.00
