,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
240,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,189.08,44.1,44.0,10.1,10.1,14.2,78.5 ,44.1,44.0,10.0,10.0,14.1,78.1 ,97.31,34.00,8.32,42.32,32.56,8.08,40.64,16.48,8.08,24.56,32.50,8.12,40.62,32.50,8.12,40.62,16.25,8.00,24.25,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
250,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,203.04,44.1,44.0,10.1,10.1,14.2,78.5 ,44.1,44.0,10.0,10.0,14.1,78.1 ,90.62,33.92,8.08,42.00,32.56,8.08,40.64,16.48,8.08,24.56,32.50,8.12,40.62,32.50,8.12,40.62,16.25,8.00,24.25,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
260,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,199.21,44.1,44.0,10.1,10.1,14.2,78.5 ,44.1,44.0,10.0,10.0,14.1,78.1 ,92.37,34.08,8.08,42.16,32.64,8.08,40.72,16.48,8.08,24.56,32.50,8.12,40.62,32.50,8.12,40.62,16.25,8.12,24.37,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
270,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,202.69,44.1,44.0,10.1,10.1,14.2,78.4 ,44.1,44.0,10.0,10.0,14.1,78.1 ,90.78,39.52,8.08,47.60,32.56,8.08,40.64,16.48,8.08,24.56,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
280,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,197.46,44.1,44.0,10.1,10.1,14.2,78.4 ,44.1,44.0,10.0,10.0,14.1,78.1 ,93.18,35.20,8.08,43.28,32.56,8.08,40.64,16.48,8.08,24.56,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
290,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,202.45,44.1,44.0,10.1,10.1,14.2,78.4 ,44.1,44.0,10.0,10.0,14.1,78.1 ,90.89,42.56,8.08,50.64,32.48,8.08,40.56,16.48,8.08,24.56,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
300,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,198.81,44.1,44.0,10.1,10.1,14.2,78.4 ,44.1,44.0,10.0,10.0,14.1,78.1 ,92.55,39.12,8.08,47.20,32.56,8.08,40.64,16.56,8.08,24.64,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
310,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,201.39,44.1,44.0,10.1,10.1,14.2,78.4 ,44.1,44.0,10.0,10.0,14.1,78.1 ,91.37,38.80,8.16,46.96,32.48,8.08,40.56,16.48,8.08,24.56,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
320,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,189.01,44.1,44.0,10.1,10.1,14.2,78.4 ,44.1,44.0,10.0,10.0,14.1,78.1 ,97.35,36.96,8.16,45.12,32.56,8.08,40.64,16.56,8.08,24.64,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
330,22.11,417.16,CPU bound. 22.11 GFLOP/s due to CPU bottleneck,22.11,417.16,,235.28,201.16,44.1,44.0,10.1,10.1,14.2,78.4 ,44.1,44.0,10.0,10.0,14.1,78.1 ,91.47,38.48,8.24,46.72,32.48,8.08,40.56,16.56,8.08,24.64,32.37,8.00,40.37,32.37,8.00,40.37,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
