,Roofline,,,,,,,,ECM,,,,,,,,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,
90,3.71,247.33,0.27,3.75,250,0.27,332.07,300,26,25,14.8,14.1,0,53.9,26,25,14,14,0,53,58.67,50.8,8.4,59.2,48,8.24,56.24,0.08,0.08,0.16,50.62,8.37,58.99,48.25,8.37,56.62,0,0,0,48,8,56,48,8,56,0,0,0
100,3.58,238.66,0.26,3.75,250,0.27,331.92,299.33,26,25,14.7,14.7,0,54.3,26,25,14,14,0,53,58.8,50.48,8.32,58.8,50.48,8.24,58.72,0.16,0.08,0.24,50.37,8.37,58.74,50.37,8.37,58.74,0,0,0,48,8,56,48,8,56,0,0,0
110,3.59,239.33,0.26,3.75,250,0.27,332.07,300.77,26,25,14.6,14.6,0,54.2,26,25,14,14,0,53,58.52,50.24,8.32,58.56,49.92,8.24,58.16,0.24,0.24,0.48,50.12,8.25,58.37,50.12,8.25,58.37,0,0,0,48,8,56,48,8,56,0,0,0
120,3.6,240,0.26,3.75,250,0.27,275.86,257.95,26,25,14.6,14.6,8.4,62.5,26,25,14,14,10.8,63.8,68.23,50.08,8.32,58.4,50.32,8.24,58.56,4.96,3.6,8.56,50,8.25,58.25,50,8.25,58.25,10,7,17,48,8,56,48,8,56,16,8,24
130,3.61,240.66,0.26,3.75,250,0.27,275.73,264.98,26,25,14.5,14.5,11.3,65.3,26,25,14,14,10.8,63.8,66.42,50.32,8.48,58.8,49.28,8.08,57.36,13.52,8.16,21.68,49.75,8.25,58,49.75,8.25,58,16.75,8.25,25,48,8,56,48,8,56,16,8,24
140,3.63,242,0.26,3.75,250,0.27,275.73,289.55,26,25,14.5,14.5,11.2,65.2,26,25,14,14,10.8,63.8,60.78,49.84,8.24,58.08,48.64,7.84,56.48,16.88,8.32,25.2,49.62,8.25,57.87,49.62,8.25,57.87,16.75,8.25,25,48,8,56,48,8,56,16,8,24
150,3.63,242,0.26,3.75,250,0.27,275.73,283.37,26,25,14.4,14.4,11.2,65.1,26,25,14,14,10.8,63.8,62.11,49.6,8.24,57.84,48.4,7.92,56.32,17.04,8.32,25.36,49.62,8.25,57.87,49.62,8.25,57.87,16.62,8.25,24.87,48,8,56,48,8,56,16,8,24
160,3.64,242.66,0.26,3.75,250,0.27,275.73,224.85,26,25,14.4,14.4,11.2,65,26,25,14,14,10.8,63.8,78.27,50.48,8.4,58.88,49.36,8.08,57.44,17.04,8.4,25.44,49.37,8.25,57.62,49.37,8.25,57.62,16.62,8.25,24.87,48,8,56,48,8,56,16,8,24
170,3.65,243.33,0.26,3.75,250,0.27,275.86,295.49,26,25,14.4,14.4,11.2,64.9,26,25,14,14,10.8,63.8,59.56,49.44,8.24,57.68,48.24,7.84,56.08,16.96,8.32,25.28,49.37,8.25,57.62,49.37,8.25,57.62,16.5,8.25,24.75,48,8,56,48,8,56,16,8,24
180,3.65,243.33,0.26,3.75,250,0.27,275.73,285.77,26,25,14.4,14.4,11.1,64.9,26,25,14,14,10.8,63.8,61.59,49.44,8.24,57.68,48.16,7.76,55.92,16.88,8.32,25.2,49.25,8.12,57.37,49.25,8.12,57.37,16.5,8.12,24.62,48,8,56,48,8,56,16,8,24
190,3.66,244,0.26,3.75,250,0.27,275.86,278.89,26,25,14.3,14.3,11.2,64.9,26,25,14,14,10.8,63.8,63.11,49.36,8.16,57.52,48.24,7.92,56.16,16.88,8.32,25.2,49.25,8.12,57.37,49.25,8.12,57.37,16.5,8.37,24.87,48,8,56,48,8,56,16,8,24
200,3.66,244,0.26,3.75,250,0.27,275.86,278.89,26,25,14.3,14.3,11.1,64.8,26,25,14,14,10.8,63.8,63.11,49.36,8.16,57.52,48.24,7.92,56.16,16.88,8.32,25.2,49.12,8.12,57.24,49.12,8.12,57.24,16.5,8.25,24.75,48,8,56,48,8,56,16,8,24
210,3.67,244.66,0.26,3.75,250,0.27,275.73,296.89,26,25,14.3,14.3,11.1,64.7,26,25,14,14,10.8,63.8,59.28,49.2,8.16,57.36,47.76,7.76,55.52,16.8,8.24,25.04,49.12,8.12,57.24,49.12,8.12,57.24,16.5,8.12,24.62,48,8,56,48,8,56,16,8,24
220,3.67,244.66,0.26,3.75,250,0.27,275.73,293.38,26,25,14.3,14.3,11.1,64.7,26,25,14,14,10.8,63.8,59.99,49.12,8.16,57.28,48.08,7.92,56,16.72,8.24,24.96,49,8.12,57.12,49,8.12,57.12,16.37,8.12,24.49,48,8,56,48,8,56,16,8,24
230,3.67,244.66,0.26,3.75,250,0.27,275.73,289.04,26,25,14.3,14.3,11.1,64.7,26,25,14,14,10.8,63.8,60.89,49.12,8.16,57.28,47.84,7.84,55.68,16.72,8.24,24.96,49,8.12,57.12,49,8.12,57.12,16.37,8.12,24.49,48,8,56,48,8,56,16,8,24
240,3.67,244.66,0.26,3.75,250,0.27,275.73,245.08,26,25,14.3,14.3,11.1,64.7,26,25,14,14,10.8,63.8,71.81,49.6,8.24,57.84,48.72,8,56.72,16.72,8.24,24.96,49,8.12,57.12,49,8.12,57.12,16.37,8.25,24.62,48,8,56,48,8,56,16,8,24
250,3.68,245.33,0.26,3.75,250,0.27,275.86,284.82,26,25,14.2,14.2,11,64.5,26,25,14,14,10.8,63.8,61.79,49.36,8.32,57.68,47.84,7.84,55.68,16.64,8.24,24.88,48.87,8.12,56.99,48.87,8.12,56.99,16.37,8,24.37,48,8,56,48,8,56,16,8,24
260,3.68,245.33,0.26,3.75,250,0.27,275.86,284.78,26,25,14.2,14.2,10.8,64.3,26,25,14,14,10.8,63.8,61.8,51.6,8.4,60,47.92,7.84,55.76,16.64,8.24,24.88,48.87,8.12,56.99,48.87,8.12,56.99,16.37,7.5,23.87,48,8,56,48,8,56,16,8,24
270,3.69,246,0.26,3.75,250,0.27,275.73,296.24,26,25,14.2,14.2,11.1,64.6,26,25,14,14,10.8,63.8,59.41,49.52,8.16,57.68,47.36,7.76,55.12,16.64,8.24,24.88,48.75,8.12,56.87,48.75,8.12,56.87,16.37,8.25,24.62,48,8,56,48,8,56,16,8,24
280,3.68,245.33,0.26,3.75,250,0.27,275.86,260.51,26,25,14.2,14.2,11,64.5,26,25,14,14,10.8,63.8,67.56,49.2,8.16,57.36,48.56,8,56.56,16.64,8.24,24.88,48.87,8.12,56.99,48.87,8.12,56.99,16.37,7.87,24.24,48,8,56,48,8,56,16,8,24
290,3.69,246,0.26,3.75,250,0.27,275.73,291.43,26,25,14.2,14.2,11,64.4,26,25,14,14,10.8,63.8,60.39,49.52,8.16,57.68,47.52,7.84,55.36,16.56,8.24,24.8,48.75,8.12,56.87,48.75,8.12,56.87,16.37,8,24.37,48,8,56,48,8,56,16,8,24
300,3.69,246,0.26,3.75,250,0.27,275.86,295.1,26,25,14.2,14.2,11.1,64.5,26,25,14,14,10.8,63.8,59.64,49.12,8.16,57.28,47.6,7.76,55.36,16.56,8.24,24.8,48.75,8.12,56.87,48.75,8.12,56.87,16.25,8.12,24.37,48,8,56,48,8,56,16,8,24
310,3.69,246,0.26,3.75,250,0.27,275.86,291.38,26,25,14.2,14.2,11,64.4,26,25,14,14,10.8,63.8,60.4,49.12,8.16,57.28,47.6,7.84,55.44,16.56,8.24,24.8,48.75,8.12,56.87,48.75,8.12,56.87,16.25,8.12,24.37,48,8,56,48,8,56,16,8,24
320,3.69,246,0.26,3.75,250,0.27,275.73,248.43,26,25,14.2,14.2,11,64.4,26,25,14,14,10.8,63.8,70.84,60.08,8.4,68.48,48.56,7.84,56.4,16.56,8.24,24.8,48.75,8.12,56.87,48.75,8.12,56.87,16.25,8.12,24.37,48,8,56,48,8,56,16,8,24
330,3.7,246.66,0.26,3.75,250,0.27,275.73,294.94,26,25,14.2,14.2,11,64.3,26,25,14,14,10.8,63.8,59.67,49.04,8.24,57.28,47.36,7.76,55.12,16.56,8.24,24.8,48.62,8.12,56.74,48.62,8.12,56.74,16.25,8.12,24.37,48,8,56,48,8,56,16,8,24
340,3.7,246.66,0.26,3.75,250,0.27,275.73,294.04,26,25,14.2,14.2,11.1,64.4,26,25,14,14,10.8,63.8,59.86,49.28,8.24,57.52,47.36,7.68,55.04,16.56,8.24,24.8,48.62,8.12,56.74,48.62,8.12,56.74,16.25,8.25,24.5,48,8,56,48,8,56,16,8,24
350,3.7,246.66,0.26,3.75,250,0.27,275.73,288.58,26,25,14.2,14.2,11.2,64.5,26,25,14,14,10.8,63.8,60.99,56.56,8.24,64.8,46.96,7.68,54.64,16.56,8.24,24.8,48.62,8.12,56.74,48.62,8.12,56.74,16.25,8.37,24.62,48,8,56,48,8,56,16,8,24
360,3.71,247.33,0.26,3.75,250,0.27,275.86,261.82,26,25,14.2,14.2,10.9,64.2,26,25,14,14,10.8,63.8,67.22,53.84,8.24,62.08,48.24,7.92,56.16,16.56,8.24,24.8,48.5,8.12,56.62,48.5,8.12,56.62,16.12,8,24.12,48,8,56,48,8,56,16,8,24
370,3.71,247.33,0.26,3.75,250,0.27,275.86,295.1,26,25,14.2,14.2,10.9,64.2,26,25,14,14,10.8,63.8,59.64,50.4,8.24,58.64,47.2,7.76,54.96,16.56,8.24,24.8,48.5,8.12,56.62,48.5,8.12,56.62,16.12,8,24.12,48,8,56,48,8,56,16,8,24
380,3.7,246.66,0.26,3.75,250,0.27,275.86,287.58,26,25,14.2,14.2,11,64.4,26,25,14,14,10.8,63.8,61.2,54.56,8.32,62.88,47.2,7.68,54.88,16.56,8.24,24.8,48.62,8.12,56.74,48.62,8.12,56.74,16.25,8.12,24.37,48,8,56,48,8,56,16,8,24
390,3.7,246.66,0.26,3.75,250,0.27,275.86,283.81,26,25,16.2,14.2,11.1,66.4,26,25,14,14,10.8,63.8,62.01,61.2,8.24,69.44,46.56,7.52,54.08,16.56,8.24,24.8,56.62,8.12,64.74,48.62,8.12,56.74,16.25,8.12,24.37,48,8,56,48,8,56,16,8,24
400,3.7,246.66,0.26,3.75,250,0.27,275.73,256.97,26,25,18.2,14.2,11,68.4,26,25,14,14,10.8,63.8,68.49,59.52,8.32,67.84,47.68,7.68,55.36,16.56,8.24,24.8,64.75,8.12,72.87,48.62,8.12,56.74,16.25,8.12,24.37,48,8,56,48,8,56,16,8,24
410,3.7,246.66,0.26,3.75,250,0.27,259.46,287.27,26,25,18.2,14.2,11.1,68.5,26,25,18,14,10.8,67.8,61.27,53.44,8.4,61.84,47.04,7.6,54.64,16.64,8.24,24.88,64.75,8.12,72.87,48.62,8.12,56.74,16.25,8.37,24.62,64,8,72,48,8,56,16,8,24
420,3.71,247.33,0.27,3.75,250,0.27,245.12,299.12,26,25,18.2,14.1,11,68.3,26,25,22,14,10.8,71.8,58.84,51.68,8.4,60.08,47.28,7.76,55.04,16.56,8.16,24.72,64.62,8.12,72.74,48.5,8.12,56.62,16.12,8.25,24.37,80,8,88,48,8,56,16,8,24
430,3.71,247.33,0.27,3.75,250,0.27,245.12,283.61,26,25,14.1,14.1,10.7,63.9,26,25,22,14,10.8,71.8,62.06,57.92,8.4,66.32,46.72,7.6,54.32,16.56,8.16,24.72,48.5,8.12,56.62,48.5,8.12,56.62,16.12,7.5,23.62,80,8,88,48,8,56,16,8,24
440,3.7,246.66,0.26,3.75,250,0.27,245.12,260.52,26,25,14.2,14.2,11.1,64.5,26,25,22,14,10.8,71.8,67.56,58.32,8.48,66.8,47.92,7.76,55.68,16.64,8.24,24.88,48.62,8.12,56.74,48.62,8.12,56.74,16.25,8.37,24.62,80,8,88,48,8,56,16,8,24
450,3.71,247.33,0.27,3.75,250,0.27,245.01,264.97,26,25,18.2,14.1,10.9,68.2,26,25,22,14,10.8,71.8,66.42,64.08,8.48,72.56,46.8,7.52,54.32,16.64,8.16,24.8,64.62,8.12,72.74,48.37,8.12,56.49,16.12,8.12,24.24,80,8,88,48,8,56,16,8,24
460,3.71,247.33,0.27,3.75,250,0.27,245.12,267.15,26,25,22.2,14.1,11.1,72.4,26,25,22,14,10.8,71.8,65.88,73.76,8.48,82.24,44.96,7.12,52.08,16.72,8.24,24.96,80.75,8.12,88.87,48.37,8.12,56.49,16.12,8.5,24.62,80,8,88,48,8,56,16,8,24
470,3.7,246.66,0.26,3.75,250,0.27,245.12,284.5,26,25,18.2,14.2,11,68.3,26,25,22,14,10.8,71.8,61.86,58.96,8.4,67.36,46.8,7.52,54.32,16.64,8.16,24.8,64.62,8.12,72.74,48.62,8.12,56.74,16.25,8.12,24.37,80,8,88,48,8,56,16,8,24
480,3.71,247.33,0.26,3.75,250,0.27,245.12,254.7,26,25,18.2,14.2,10.9,68.2,26,25,22,14,10.8,71.8,69.1,63.52,8.48,72,47.36,7.68,55.04,16.72,8.24,24.96,64.62,8.12,72.74,48.5,8.12,56.62,16.25,7.75,24,80,8,88,48,8,56,16,8,24
490,3.72,248,0.27,3.75,250,0.27,245.01,278.43,26,25,18.1,14.1,10.9,68.2,26,25,22,14,10.8,71.8,63.21,57.76,8.4,66.16,47.12,7.68,54.8,16.8,8.16,24.96,64.5,8.12,72.62,48.37,8.12,56.49,16.12,8,24.12,80,8,88,48,8,56,16,8,24
500,3.71,247.33,0.26,3.75,250,0.27,245.01,277.48,26,25,22.2,14.2,10.9,72.3,26,25,22,14,10.8,71.8,63.43,63.84,8.48,72.32,46.16,7.44,53.6,16.88,8.16,25.04,80.62,8.12,88.74,48.5,8.12,56.62,16.25,7.87,24.12,80,8,88,48,8,56,16,8,24
510,3.71,247.33,0.26,3.75,250,0.27,245.01,250.58,26,25,16.2,14.2,11.1,66.4,26,25,22,14,10.8,71.8,70.24,61.36,8.4,69.76,47.6,7.84,55.44,16.96,8.24,25.2,56.62,8.12,64.74,48.5,8.12,56.62,16.25,8.25,24.5,80,8,88,48,8,56,16,8,24
520,3.72,248,0.27,3.75,250,0.27,245.12,248.18,26,25,22.2,14.1,10.9,72.2,26,25,22,14,10.8,71.8,70.92,81.52,8.48,90,45.12,6.96,52.08,17.04,8.24,25.28,80.62,8,88.62,48.37,8,56.37,16.12,8,24.12,80,8,88,48,8,56,16,8,24
530,3.72,248,0.27,3.75,250,0.27,245.01,254.39,26,25,22.2,14.1,10.9,72.1,26,25,22,14,10.8,71.8,69.19,81.2,8.48,89.68,44.64,7.04,51.68,17.2,8.16,25.36,80.62,8,88.62,48.37,8,56.37,16.12,7.87,23.99,80,8,88,48,8,56,16,8,24
540,3.72,248,0.27,3.75,250,0.27,245.01,257.93,26,25,22.2,14.1,10.9,72.2,26,25,22,14,10.8,71.8,68.24,81.28,8.4,89.68,44.32,6.96,51.28,17.2,8.16,25.36,80.62,8,88.62,48.37,8,56.37,16.12,8,24.12,80,8,88,48,8,56,16,8,24
550,3.71,247.33,0.27,3.75,250,0.27,245.01,257.36,26,25,22.2,14.1,11.1,72.4,26,25,22,14,10.8,71.8,68.39,81.12,8.4,89.52,44.4,6.96,51.36,17.44,8.16,25.6,80.62,8,88.62,48.5,8,56.5,16.25,8.12,24.37,80,8,88,48,8,56,16,8,24
560,3.72,248,0.27,3.75,250,0.27,245.12,241.89,26,25,22.2,14.1,10.8,72,26,25,22,14,10.8,71.8,72.76,80.08,8.4,88.48,45.76,7.12,52.88,17.6,8.24,25.84,80.62,8,88.62,48.37,8,56.37,16.12,7.75,23.87,80,8,88,48,8,56,16,8,24
570,3.72,248,0.27,3.75,250,0.27,245.01,255.18,26,25,22.2,14.1,10.8,72.1,26,25,22,14,10.8,71.8,68.97,81.12,8.4,89.52,44.64,6.96,51.6,17.6,8.16,25.76,80.62,8,88.62,48.37,8,56.37,16.12,7.87,23.99,80,8,88,48,8,56,16,8,24
580,3.72,248,0.27,3.75,250,0.27,245.01,256.62,26,25,22.2,14.1,10.7,72,26,25,22,14,10.8,71.8,68.58,81.2,8.4,89.6,44.72,7.12,51.84,18,8.16,26.16,80.5,8,88.5,48.37,8,56.37,16.12,7.62,23.74,80,8,88,48,8,56,16,8,24
590,3.72,248,0.27,3.75,250,0.27,245.12,254.6,26,25,22.2,14.1,11,72.2,26,25,22,14,10.8,71.8,69.13,81.04,8.32,89.36,44.8,7.04,51.84,18.48,8.16,26.64,80.5,8,88.5,48.37,8,56.37,16.12,8.25,24.37,80,8,88,48,8,56,16,8,24
600,3.71,247.33,0.27,3.75,250,0.27,245.12,250.53,26,25,22.1,14.1,11.2,72.5,26,25,22,14,10.8,71.8,70.25,81.52,8.4,89.92,44.8,6.88,51.68,18.32,8.16,26.48,80.5,8,88.5,48.5,8,56.5,16.25,8.5,24.75,80,8,88,48,8,56,16,8,24
610,3.71,247.33,0.27,3.75,250,0.27,245.12,254.51,26,25,22.1,14.1,10.7,72,26,25,22,14,10.8,71.8,69.15,81.04,8.4,89.44,44.56,6.96,51.52,19.12,8.16,27.28,80.5,8,88.5,48.5,8,56.5,16.25,7.5,23.75,80,8,88,48,8,56,16,8,24
620,3.72,248,0.27,3.75,250,0.27,245.12,253.23,26,25,22.1,14.1,10.9,72.2,26,25,22,14,10.8,71.8,69.5,81.12,8.4,89.52,44.64,6.96,51.6,19.68,8.16,27.84,80.5,8,88.5,48.37,8,56.37,16.12,8.12,24.24,80,8,88,48,8,56,16,8,24
630,3.72,248,0.27,3.75,250,0.27,245.12,252.81,26,25,22.1,14.1,10.8,72,26,25,22,14,10.8,71.8,69.62,81.04,8.32,89.36,45.04,7.04,52.08,20.08,8.16,28.24,80.5,8,88.5,48.25,8,56.25,16.12,7.87,23.99,80,8,88,48,8,56,16,8,24
640,3.73,248.66,0.27,3.75,250,0.27,245.01,229.27,26,25,22.1,14.1,10.9,72.1,26,25,22,14,10.8,71.8,76.77,75.76,8.32,84.08,46.8,7.52,54.32,20.72,8.24,28.96,80.5,8,88.5,48.25,8,56.25,16.12,8,24.12,80,8,88,48,8,56,16,8,24
650,3.71,247.33,0.27,3.75,250,0.27,245.01,252.29,26,25,22.1,14.1,11.3,72.6,26,25,22,14,10.8,71.8,69.76,80.96,8.4,89.36,45.2,7.04,52.24,21.44,8.16,29.6,80.5,8,88.5,48.5,8,56.5,16.25,8.62,24.87,80,8,88,48,8,56,16,8,24
660,3.72,248,0.27,3.75,250,0.27,245.01,249.65,26,25,22.1,14.1,10.8,72,26,25,22,14,10.8,71.8,70.5,81.52,8.32,89.84,45.12,7.04,52.16,22.32,8.16,30.48,80.5,8,88.5,48.25,8,56.25,16.12,7.87,23.99,80,8,88,48,8,56,16,8,24
670,3.71,247.33,0.27,3.75,250,0.27,245.01,248.84,26,25,22.1,14.1,11.2,72.5,26,25,22,14,10.8,71.8,70.73,80.96,8.32,89.28,45.44,7.04,52.48,23.2,8.16,31.36,80.5,8,88.5,48.5,8,56.5,16.25,8.62,24.87,80,8,88,48,8,56,16,8,24
680,3.72,248,0.27,3.75,250,0.27,245.01,244.24,26,25,22.1,14.1,10.7,71.9,26,25,22,14,10.8,71.8,72.06,80.96,8.32,89.28,45.44,6.88,52.32,23.44,8.16,31.6,80.5,8,88.5,48.25,8,56.25,16.12,7.62,23.74,80,8,88,48,8,56,16,8,24
690,3.72,248,0.27,3.75,250,0.27,245.12,241.83,26,25,22.1,14.1,10.8,72,26,25,22,14,10.8,71.8,72.78,80.88,8.32,89.2,45.44,7.2,52.64,25.2,8.16,33.36,80.5,8,88.5,48.25,8,56.25,16.12,7.87,23.99,80,8,88,48,8,56,16,8,24
700,3.73,248.66,0.27,3.75,250,0.27,245.12,237.64,26,25,22.1,14.1,10.9,72.1,26,25,22,14,10.8,71.8,74.06,81.04,8.32,89.36,45.6,7.28,52.88,25.76,8.16,33.92,80.5,8,88.5,48.25,8,56.25,16.12,8,24.12,80,8,88,48,8,56,16,8,24
710,3.73,248.66,0.27,3.75,250,0.27,245.01,241.95,26,25,22.1,14.1,11,72.2,26,25,22,14,10.8,71.8,72.74,80.88,8.32,89.2,45.52,7.12,52.64,27.12,8.16,35.28,80.5,8,88.5,48.25,8,56.25,16.12,8.25,24.37,80,8,88,48,8,56,16,8,24
720,3.73,248.66,0.27,3.75,250,0.27,245.12,227.65,26,25,22.1,14.1,10.7,71.9,26,25,22,14,10.8,71.8,77.31,81.28,8.32,89.6,45.68,7.2,52.88,28.32,8.16,36.48,80.5,8,88.5,48.25,8,56.25,16.12,7.62,23.74,80,8,88,48,8,56,16,8,24
730,3.73,248.66,0.27,3.75,250,0.27,245.12,236.3,26,25,22.1,14.1,10.8,72,26,25,22,14,10.8,71.8,74.48,80.88,8.32,89.2,45.6,7.04,52.64,29.76,8.16,37.92,80.5,8,88.5,48.25,8,56.25,16.12,7.75,23.87,80,8,88,48,8,56,16,8,24
740,3.59,239.33,0.38,2.5,166.66,0.27,204.55,234.55,26,25,22.1,14.1,17.4,78.6,26,25,22,14,25,86,75.04,80.88,8.32,89.2,45.44,7.2,52.64,30.32,8.16,38.48,80.37,8,88.37,48.25,8,56.25,31.5,7.62,39.12,80,8,88,48,8,56,48,8,56
750,3.73,248.66,0.27,2.5,166.66,0.27,204.65,232.48,26,25,22.1,14.1,14.5,75.7,26,25,22,14,25,86,75.71,80.88,8.24,89.12,45.68,7.2,52.88,32.08,8.16,40.24,80.37,8,88.37,48.25,8,56.25,23.87,8.25,32.12,80,8,88,48,8,56,48,8,56
760,2.58,172,0.28,2.5,166.66,0.27,204.65,232.24,26,25,22.1,14.1,24.3,85.5,26,25,22,14,25,86,75.79,80.96,8.32,89.28,45.6,7.04,52.64,32.64,8.16,40.8,80.37,8,88.37,48.5,8,56.5,46.37,8,54.37,80,8,88,48,8,56,48,8,56
770,3.09,206,0.33,2.5,166.66,0.27,204.65,215.91,26,25,22.1,14.1,20.2,81.4,26,25,22,14,25,86,81.52,81.04,8.32,89.36,46.32,7.44,53.76,34.24,8.24,42.48,80.37,8,88.37,48.25,8,56.25,38.25,7,45.25,80,8,88,48,8,56,48,8,56
780,2.51,167.33,0.27,2.5,166.66,0.27,204.65,225.53,26,25,22.1,14.1,24.9,86.1,26,25,22,14,25,86,78.04,80.8,8.32,89.12,45.92,7.2,53.12,35.28,8.16,43.44,80.37,8,88.37,48.25,8,56.25,47.87,8,55.87,80,8,88,48,8,56,48,8,56
790,2.47,164.66,0.26,2.5,166.66,0.27,204.55,221.93,26,25,22.1,14.1,25.3,86.6,26,25,22,14,25,86,79.3,80.88,8.24,89.12,45.76,7.28,53.04,37.52,8.16,45.68,80.37,8,88.37,48.5,8,56.5,48.5,8.25,56.75,80,8,88,48,8,56,48,8,56
800,2.47,164.66,0.26,2.5,166.66,0.27,204.55,212.78,26,25,22.1,14.1,25.3,86.6,26,25,22,14,25,86,82.71,81.36,8.32,89.68,46.16,7.28,53.44,37.68,8.24,45.92,80.37,8,88.37,48.5,8,56.5,48.5,8.25,56.75,80,8,88,48,8,56,48,8,56
810,2.48,165.33,0.27,2.5,166.66,0.27,204.55,212.78,26,25,22.1,14.1,25.2,86.5,26,25,22,14,25,86,82.71,81.36,8.32,89.68,46.16,7.28,53.44,37.68,8.24,45.92,80.37,8,88.37,48.5,8,56.5,48.5,8,56.5,80,8,88,48,8,56,48,8,56
820,2.49,166,0.27,2.5,166.66,0.27,204.55,212.64,26,25,22.1,14.1,25.1,86.3,26,25,22,14,25,86,82.77,80.8,8.32,89.12,46.48,7.28,53.76,39.84,8.24,48.08,80.37,8,88.37,48.5,8,56.5,48.5,7.75,56.25,80,8,88,48,8,56,48,8,56
830,2.48,165.33,0.27,2.5,166.66,0.27,204.55,212.78,26,25,22.1,14.1,25.2,86.5,26,25,22,14,25,86,82.71,80.96,8.24,89.2,46.08,7.28,53.36,40.72,8.24,48.96,80.37,8,88.37,48.5,8,56.5,48.5,8,56.5,80,8,88,48,8,56,48,8,56
840,2.49,166,0.27,2.5,166.66,0.27,204.55,221.28,26,25,22.1,14.1,25.1,86.3,26,25,22,14,25,86,79.54,80.8,8.32,89.12,45.76,7.12,52.88,41.68,8.16,49.84,80.37,8,88.37,48.25,8,56.25,48.25,8,56.25,80,8,88,48,8,56,48,8,56
850,2.49,166,0.27,2.5,166.66,0.27,204.55,218.18,26,25,22.1,14.1,25.1,86.3,26,25,22,14,25,86,80.67,80.72,8.32,89.04,45.92,7.28,53.2,42.32,8.16,50.48,80.37,8,88.37,48.25,8,56.25,48.25,8,56.25,80,8,88,48,8,56,48,8,56
860,2.49,166,0.27,2.5,166.66,0.27,204.65,215.93,26,25,22.1,14.1,25.1,86.3,26,25,22,14,25,86,81.51,80.72,8.24,88.96,45.92,7.2,53.12,43.04,8.16,51.2,80.37,8,88.37,48.25,8,56.25,48.25,8,56.25,80,8,88,48,8,56,48,8,56
