,Roofline,,,,,,,,ECM,,,,,,,,,,,,Benchmark,,,,,,Data Transfer (Benchmark),,,,,,,,,Data Transfer (Prediction CS),,,,,,,,,Data Transfer (Prediction LC),,,,,,,,
,Cache Simulator,,,Layer Conditions,,,ECM,Benchmark,Cache Simulator,,,,,,Layer Condition,,,,,,Benchmark,Phenomenological ECM,,,,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,,L1-L2 (B/LUP),,,L2-L3 (B/LUP),,,L3-MEM (B/LUP),,
N(^3),GFLOP/s,MLUP/s,Arithmetic Intensity,GFLOP/s,MLUP/s,Arithmetic Intensity,MLUP/s,MLUP/s,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,cy/CL,cy/CL,T_OL,T_nOL,T_L1L2,T_L2L3,T_L3MEM,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total,load,evict,total
380,8.99,691.53,0.54,9.08,698.46,0.54,413.48,445.91,10.0,8.0,10.1,10.1,16.7,44.8 ,10.0,8.0,10.0,10.0,16.5,44.5 ,41.26,11.0,7.5,10.1,10.0,17.0,32.48,8.08,40.56,32.24,7.76,40.00,16.56,8.08,24.64,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
390,8.90,684.61,0.53,9.08,698.46,0.54,413.48,446.07,10.0,8.0,10.1,10.0,16.9,44.9 ,10.0,8.0,10.0,10.0,16.5,44.5 ,41.25,10.4,7.3,10.1,10.0,17.0,32.48,8.08,40.56,32.24,7.76,40.00,16.64,8.08,24.72,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.37,24.49,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
400,9.01,693.07,0.54,9.08,698.46,0.54,413.48,462.91,10.0,8.0,10.1,10.1,16.6,44.8 ,10.0,8.0,10.0,10.0,16.5,44.5 ,39.75,10.6,7.4,10.1,10.0,16.9,32.32,8.08,40.40,32.24,7.84,40.08,16.48,8.08,24.56,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
410,9.01,693.07,0.54,9.08,698.46,0.54,413.30,455.26,10.0,8.0,10.1,10.1,16.6,44.8 ,10.0,8.0,10.0,10.0,16.5,44.5 ,40.42,10.6,7.3,10.1,10.0,17.0,32.40,8.08,40.48,32.24,7.84,40.08,16.56,8.08,24.64,32.25,8.00,40.25,32.25,8.00,40.25,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
420,9.04,695.38,0.54,9.08,698.46,0.54,413.48,455.12,10.0,8.0,10.0,10.0,16.6,44.7 ,10.0,8.0,10.0,10.0,16.5,44.5 ,40.43,10.6,7.4,10.1,10.0,17.0,32.32,8.08,40.40,32.24,7.76,40.00,16.64,8.08,24.72,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
430,9.07,697.69,0.54,9.08,698.46,0.54,413.48,463.46,10.0,8.0,10.0,10.0,16.6,44.6 ,10.0,8.0,10.0,10.0,16.5,44.5 ,39.70,10.7,7.3,10.1,10.0,17.1,32.56,8.08,40.64,32.24,7.84,40.08,16.72,8.08,24.80,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
440,9.07,697.69,0.54,9.08,698.46,0.54,413.30,458.53,10.0,8.0,10.1,10.1,16.5,44.7 ,10.0,8.0,10.0,10.0,16.5,44.5 ,40.13,10.7,7.4,10.2,10.0,17.1,32.64,8.08,40.72,32.24,7.84,40.08,16.80,8.08,24.88,32.25,8.00,40.25,32.25,8.00,40.25,16.12,7.87,23.99,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
450,9.04,695.38,0.54,9.08,698.46,0.54,413.48,462.85,10.0,8.0,10.0,10.0,16.6,44.7 ,10.0,8.0,10.0,10.0,16.5,44.5 ,39.75,10.5,7.3,10.1,10.0,17.1,32.32,8.00,40.32,32.24,7.76,40.00,16.72,8.08,24.80,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.00,24.12,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
460,9.01,693.07,0.54,9.08,698.46,0.54,413.48,450.95,10.0,8.0,10.0,10.0,16.7,44.7 ,10.0,8.0,10.0,10.0,16.5,44.5 ,40.80,10.8,7.4,10.1,10.0,17.2,32.48,8.00,40.48,32.24,7.92,40.16,16.88,8.08,24.96,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
470,9.00,692.30,0.54,9.08,698.46,0.54,413.48,455.48,10.0,8.0,10.0,10.0,16.7,44.8 ,10.0,8.0,10.0,10.0,16.5,44.5 ,40.40,10.3,7.3,10.1,10.0,17.2,32.40,8.00,40.40,32.24,7.92,40.16,16.88,8.08,24.96,32.12,8.00,40.12,32.12,8.00,40.12,16.12,8.12,24.24,32.00,8.00,40.00,32.00,8.00,40.00,16.00,8.00,24.00
